[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
<b>(衆)</b> <br> 彼は大衆の中で目立った。	[sound:s8-0810_彼は大衆の中で目立った。.mp3] <br> かれはたいしゅうのなかでめだった。 <br> He stood out in the crowd.			
[sound:k8-0811_核心.mp3]	核心 <br> かくしん <br> kernel, core
kernel, core	核心 <br> かくしん <br> [sound:k8-0811_核心.mp3]
核心	[sound:k8-0811_核心.mp3] <br> かくしん <br> kernel, core
[sound:s8-0811_彼は衆院議員です。.mp3]	<b>(衆院)</b> <br> 彼は衆院議員です。<br> かれはしゅういんぎいんです。 <br> He is a member of the House of Representatives.			
<b>(衆院)</b> <br> 彼は衆院議員です。	[sound:s8-0811_彼は衆院議員です。.mp3] <br> かれはしゅういんぎいんです。 <br> He is a member of the House of Representatives.			
[sound:k8-0812_核弾頭.mp3]	核弾頭 <br> かくだんとう <br> nuclear warhead
nuclear warhead	核弾頭 <br> かくだんとう <br> [sound:k8-0812_核弾頭.mp3]
核弾頭	[sound:k8-0812_核弾頭.mp3] <br> かくだんとう <br> nuclear warhead
[sound:s8-0812_大衆の意見は一致していない。.mp3]	<b>(大衆)</b> <br> 大衆の意見は一致していない。<br> たいしゅうのいけんはいっちしていない。 <br> The opinions of the masses are not unanimous.			
<b>(大衆)</b> <br> 大衆の意見は一致していない。	[sound:s8-0812_大衆の意見は一致していない。.mp3] <br> たいしゅうのいけんはいっちしていない。 <br> The opinions of the masses are not unanimous.			
[sound:k8-0813_核家族.mp3]	核家族 <br> かくかぞく <br> nuclear family
nuclear family	核家族 <br> かくかぞく <br> [sound:k8-0813_核家族.mp3]
核家族	[sound:k8-0813_核家族.mp3] <br> かくかぞく <br> nuclear family
[sound:s8-0813_政府は民衆の要求に応えなければならない。.mp3]	<b>(民衆)</b> <br> 政府は民衆の要求に応えなければならない。<br> せいふはみんしゅうのようきゅうにこたえなければならない。 <br> The government must respond to the demands of the people.			
<b>(民衆)</b> <br> 政府は民衆の要求に応えなければならない。	[sound:s8-0813_政府は民衆の要求に応えなければならない。.mp3] <br> せいふはみんしゅうのようきゅうにこたえなければならない。 <br> The government must respond to the demands of the people.			
[sound:k8-0814_核武装.mp3]	核武装 <br> かくぶそう <br> nuclear arms
nuclear arms	核武装 <br> かくぶそう <br> [sound:k8-0814_核武装.mp3]
核武装	[sound:k8-0814_核武装.mp3] <br> かくぶそう <br> nuclear arms
[sound:s8-0814_大衆の中には反対意見もあった。.mp3]	<b>(衆)</b> <br> 大衆の中には反対意見もあった。<br> たいしゅうのなかにははんたいいけんもあった。 <br> There were also opposing opinions among the masses.			
<b>(衆)</b> <br> 大衆の中には反対意見もあった。	[sound:s8-0814_大衆の中には反対意見もあった。.mp3] <br> たいしゅうのなかにははんたいいけんもあった。 <br> There were also opposing opinions among the masses.			
[sound:k8-0815_観.mp3]	観 <br> (kun: み.る, しめ.す; on: カン) <br> outlook, look, appearance, condition, view
outlook, look, appearance, condition, view	観 <br> (kun: み.る, しめ.す; on: カン) <br> [sound:k8-0815_観.mp3]
観	[sound:k8-0815_観.mp3] <br> (kun: み.る, しめ.す; on: カン) <br> outlook, look, appearance, condition, view
[sound:s8-0815_会議の聴衆は数百人です。.mp3]	<b>(聴衆)</b> <br> 会議の聴衆は数百人です。<br> かいぎのちょうしゅうはすうひゃくにんです。 <br> There are hundreds of people in the audience at the meeting.			
<b>(聴衆)</b> <br> 会議の聴衆は数百人です。	[sound:s8-0815_会議の聴衆は数百人です。.mp3] <br> かいぎのちょうしゅうはすうひゃくにんです。 <br> There are hundreds of people in the audience at the meeting.			
[sound:k8-0816_観光.mp3]	観光 <br> かんこう <br> sightseeing
sightseeing	観光 <br> かんこう <br> [sound:k8-0816_観光.mp3]
観光	[sound:k8-0816_観光.mp3] <br> かんこう <br> sightseeing
[sound:s8-0816_衆議院の選挙が行われた。.mp3]	<b>(衆議院)</b> <br> 衆議院の選挙が行われた。<br> しゅうぎいんのせんきょがおこなわれた。 <br> Elections for the House of Representatives were held.			
<b>(衆議院)</b> <br> 衆議院の選挙が行われた。	[sound:s8-0816_衆議院の選挙が行われた。.mp3] <br> しゅうぎいんのせんきょがおこなわれた。 <br> Elections for the House of Representatives were held.			
[sound:k8-0817_観測.mp3]	観測 <br> かんそく <br> observation
observation	観測 <br> かんそく <br> [sound:k8-0817_観測.mp3]
観測	[sound:k8-0817_観測.mp3] <br> かんそく <br> observation
[sound:s8-0817_そのイベントには多くの観衆が集まった。.mp3]	<b>(観衆)</b> <br> そのイベントには多くの観衆が集まった。<br> そのイベントにはおおくのかんしゅうがあつまった。 <br> Many spectators gathered at the event.			
<b>(観衆)</b> <br> そのイベントには多くの観衆が集まった。	[sound:s8-0817_そのイベントには多くの観衆が集まった。.mp3] <br> そのイベントにはおおくのかんしゅうがあつまった。 <br> Many spectators gathered at the event.			
[sound:k8-0818_観客.mp3]	観客 <br> かんきゃく <br> audience, spectator(s)
audience, spectator(s)	観客 <br> かんきゃく <br> [sound:k8-0818_観客.mp3]
観客	[sound:k8-0818_観客.mp3] <br> かんきゃく <br> audience, spectator(s)
[sound:s8-0818_公衆電話は街中に設置されている。.mp3]	<b>(公衆電話)</b> <br> 公衆電話は街中に設置されている。<br> こうしゅうでんわはまちじゅうにせっちされている。 <br> Public telephones are installed all over the city.			
<b>(公衆電話)</b> <br> 公衆電話は街中に設置されている。	[sound:s8-0818_公衆電話は街中に設置されている。.mp3] <br> こうしゅうでんわはまちじゅうにせっちされている。 <br> Public telephones are installed all over the city.			
[sound:k8-0819_観点.mp3]	観点 <br> かんてん <br> point of view
point of view	観点 <br> かんてん <br> [sound:k8-0819_観点.mp3]
観点	[sound:k8-0819_観点.mp3] <br> かんてん <br> point of view
[sound:s8-0819_群衆がストリートを埋め尽くした。.mp3]	<b>(群衆)</b> <br> 群衆がストリートを埋め尽くした。<br> ぐんしゅうがストリートをうめつくした。 <br> The crowd filled the streets.			
<b>(群衆)</b> <br> 群衆がストリートを埋め尽くした。	[sound:s8-0819_群衆がストリートを埋め尽くした。.mp3] <br> ぐんしゅうがストリートをうめつくした。 <br> The crowd filled the streets.			
[sound:k8-0820_価値観.mp3]	価値観 <br> かちかん <br> values
values	価値観 <br> かちかん <br> [sound:k8-0820_価値観.mp3]
価値観	[sound:k8-0820_価値観.mp3] <br> かちかん <br> values
[sound:s8-0820_公衆のための公園が建設された。.mp3]	<b>(公衆)</b> <br> 公衆のための公園が建設された。<br> こうしゅうのためのこうえんがけんせつされた。 <br> A park for the public was constructed.			
<b>(公衆)</b> <br> 公衆のための公園が建設された。	[sound:s8-0820_公衆のための公園が建設された。.mp3] <br> こうしゅうのためのこうえんがけんせつされた。 <br> A park for the public was constructed.			
[sound:k8-0821_観察.mp3]	観察 <br> かんさつ <br> observation, survey
observation, survey	観察 <br> かんさつ <br> [sound:k8-0821_観察.mp3]
観察	[sound:k8-0821_観察.mp3] <br> かんさつ <br> observation, survey
[sound:s8-0821_このプロジェクトは個人の貢献に依存している。.mp3]	<b>(個)</b> <br> このプロジェクトは個人の貢献に依存している。<br> このプロジェクトはこじんのこうけんにいぞんしている。 <br> This project relies on individual contributions.			
<b>(個)</b> <br> このプロジェクトは個人の貢献に依存している。	[sound:s8-0821_このプロジェクトは個人の貢献に依存している。.mp3] <br> このプロジェクトはこじんのこうけんにいぞんしている。 <br> This project relies on individual contributions.			
[sound:k8-0822_悲観.mp3]	悲観 <br> ひかん <br> pessimism, disappointment
pessimism, disappointment	悲観 <br> ひかん <br> [sound:k8-0822_悲観.mp3]
悲観	[sound:k8-0822_悲観.mp3] <br> ひかん <br> pessimism, disappointment
[sound:s8-0822_彼は優れた個人です。.mp3]	<b>(個人)</b> <br> 彼は優れた個人です。<br> かれはすぐれたこじんです。 <br> He is an outstanding individual.			
<b>(個人)</b> <br> 彼は優れた個人です。	[sound:s8-0822_彼は優れた個人です。.mp3] <br> かれはすぐれたこじんです。 <br> He is an outstanding individual.			
[sound:k8-0823_楽観.mp3]	楽観 <br> らっかん <br> optimism
optimism	楽観 <br> らっかん <br> [sound:k8-0823_楽観.mp3]
楽観	[sound:k8-0823_楽観.mp3] <br> らっかん <br> optimism
[sound:s8-0823_個別の相談が必要です。.mp3]	<b>(個別)</b> <br> 個別の相談が必要です。<br> こべつのそうだんがひつようです。 <br> Individual consultation is necessary.			
<b>(個別)</b> <br> 個別の相談が必要です。	[sound:s8-0823_個別の相談が必要です。.mp3] <br> こべつのそうだんがひつようです。 <br> Individual consultation is necessary.			
[sound:k8-0824_客観的.mp3]	客観的 <br> きゃっかんてき <br> objective
objective	客観的 <br> きゃっかんてき <br> [sound:k8-0824_客観的.mp3]
客観的	[sound:k8-0824_客観的.mp3] <br> きゃっかんてき <br> objective
[sound:s8-0824_彼は独自の個性を持っている。.mp3]	<b>(個性)</b> <br> 彼は独自の個性を持っている。<br> かれはどくじのこせいをもっている。 <br> He has a unique personality.			
<b>(個性)</b> <br> 彼は独自の個性を持っている。	[sound:s8-0824_彼は独自の個性を持っている。.mp3] <br> かれはどくじのこせいをもっている。 <br> He has a unique personality.			
[sound:k8-0825_景観.mp3]	景観 <br> けいかん <br> scenery
scenery	景観 <br> けいかん <br> [sound:k8-0825_景観.mp3]
景観	[sound:k8-0825_景観.mp3] <br> けいかん <br> scenery
[sound:s8-0825_彼の意見は個人的なものです。.mp3]	<b>(個人的)</b> <br> 彼の意見は個人的なものです。<br> かれのいけんはこじんてきなものです。 <br> His opinion is personal.			
<b>(個人的)</b> <br> 彼の意見は個人的なものです。	[sound:s8-0825_彼の意見は個人的なものです。.mp3] <br> かれのいけんはこじんてきなものです。 <br> His opinion is personal.			
[sound:k8-0826_察.mp3]	察 <br> (on: サツ) <br> meaning: guess, presume, surmise, judge, understand
meaning: guess, presume, surmise, judge, understand	察 <br> (on: サツ) <br> [sound:k8-0826_察.mp3]
察	[sound:k8-0826_察.mp3] <br> (on: サツ) <br> meaning: guess, presume, surmise, judge, understand
[sound:s8-0826_彼は個々のニーズを考慮しています。.mp3]	<b>(個々)</b> <br> 彼は個々のニーズを考慮しています。<br> かれはここうのニーズをこうりょしています。 <br> He considers individual needs.			
<b>(個々)</b> <br> 彼は個々のニーズを考慮しています。	[sound:s8-0826_彼は個々のニーズを考慮しています。.mp3] <br> かれはここうのニーズをこうりょしています。 <br> He considers individual needs.			
[sound:k8-0827_警察.mp3]	警察 <br> けいさつ <br> police
police	警察 <br> けいさつ <br> [sound:k8-0827_警察.mp3]
警察	[sound:k8-0827_警察.mp3] <br> けいさつ <br> police
[sound:s8-0827_彼女は個展を開催した。.mp3]	<b>(個展)</b> <br> 彼女は個展を開催した。<br> かのじょはこてんをかいさいした。 <br> She held a solo exhibition.			
<b>(個展)</b> <br> 彼女は個展を開催した。	[sound:s8-0827_彼女は個展を開催した。.mp3] <br> かのじょはこてんをかいさいした。 <br> She held a solo exhibition.			
[sound:k8-0828_検察.mp3]	検察 <br> けんさつ <br> examination, prosecutor
examination, prosecutor	検察 <br> けんさつ <br> [sound:k8-0828_検察.mp3]
検察	[sound:k8-0828_検察.mp3] <br> けんさつ <br> examination, prosecutor
[sound:s8-0828_その箱にリンゴが一個入っている。.mp3]	<b>(一個)</b> <br> その箱にリンゴが一個入っている。<br> そのはこにリンゴがひとこはいっている。 <br> There is one apple in the box.			
<b>(一個)</b> <br> その箱にリンゴが一個入っている。	[sound:s8-0828_その箱にリンゴが一個入っている。.mp3] <br> そのはこにリンゴがひとこはいっている。 <br> There is one apple in the box.			
[sound:k8-0829_査察.mp3]	査察 <br> ささつ <br> inspection (for compliance), investigation (tax, etc.)
inspection (for compliance), investigation (tax, etc.)	査察 <br> ささつ <br> [sound:k8-0829_査察.mp3]
査察	[sound:k8-0829_査察.mp3] <br> ささつ <br> inspection (for compliance), investigation (tax, etc.)
[sound:s8-0829_これは別個の問題です。.mp3]	<b>(別個)</b> <br> これは別個の問題です。<br> これはべっこのもんだいです。 <br> This is a separate issue.			
<b>(別個)</b> <br> これは別個の問題です。	[sound:s8-0829_これは別個の問題です。.mp3] <br> これはべっこのもんだいです。 <br> This is a separate issue.			
[sound:k8-0830_警察庁.mp3]	警察庁 <br> けいさつちょう <br> National Police Agency
National Police Agency	警察庁 <br> けいさつちょう <br> [sound:k8-0830_警察庁.mp3]
警察庁	[sound:k8-0830_警察庁.mp3] <br> けいさつちょう <br> National Police Agency
[sound:s8-0830_この建物には不備がいくつか個所あります。.mp3]	<b>(個所)</b> <br> この建物には不備がいくつか個所あります。<br> このたてものにはふびがいくつかこしょあります。 <br> There are several flaws in this building.			
<b>(個所)</b> <br> この建物には不備がいくつか個所あります。	[sound:s8-0830_この建物には不備がいくつか個所あります。.mp3] <br> このたてものにはふびがいくつかこしょあります。 <br> There are several flaws in this building.			
[sound:k8-0831_視察.mp3]	視察 <br> しさつ <br> inspection, observation
inspection, observation	視察 <br> しさつ <br> [sound:k8-0831_視察.mp3]
視察	[sound:k8-0831_視察.mp3] <br> しさつ <br> inspection, observation
[sound:s8-0831_彼女は個室で一人で過ごした。.mp3]	<b>(個室)</b> <br> 彼女は個室で一人で過ごした。<br> かのじょはこしつでひとりですごした。 <br> She spent time alone in her room.			
<b>(個室)</b> <br> 彼女は個室で一人で過ごした。	[sound:s8-0831_彼女は個室で一人で過ごした。.mp3] <br> かのじょはこしつでひとりですごした。 <br> She spent time alone in her room.			
[sound:k8-0832_観察.mp3]	観察 <br> かんさつ <br> observation, survey
observation, survey	観察 <br> かんさつ <br> [sound:k8-0832_観察.mp3]
観察	[sound:k8-0832_観察.mp3] <br> かんさつ <br> observation, survey
[sound:s8-0832_この門は重厚なデザインです。.mp3]	<b>(門)</b> <br> この門は重厚なデザインです。<br> このもんはじゅうこうなデザインです。 <br> This gate has a solid design.			
<b>(門)</b> <br> この門は重厚なデザインです。	[sound:s8-0832_この門は重厚なデザインです。.mp3] <br> このもんはじゅうこうなデザインです。 <br> This gate has a solid design.			
[sound:k8-0833_検察官.mp3]	検察官 <br> けんさつかん <br> public prosecutor
public prosecutor	検察官 <br> けんさつかん <br> [sound:k8-0833_検察官.mp3]
検察官	[sound:k8-0833_検察官.mp3] <br> けんさつかん <br> public prosecutor
[sound:s8-0833_彼は優れた家系の門を継ぐ。.mp3]	<b>(門)</b> <br> 彼は優れた家系の門を継ぐ。<br> かれはすぐれたかけいのもんをつぐ。 <br> He inherits the gate of an excellent family.			
<b>(門)</b> <br> 彼は優れた家系の門を継ぐ。	[sound:s8-0833_彼は優れた家系の門を継ぐ。.mp3] <br> かれはすぐれたかけいのもんをつぐ。 <br> He inherits the gate of an excellent family.			
[sound:k8-0834_偵察.mp3]	偵察 <br> ていさつ <br> scout out, reconnaissance
scout out, reconnaissance	偵察 <br> ていさつ <br> [sound:k8-0834_偵察.mp3]
偵察	[sound:k8-0834_偵察.mp3] <br> ていさつ <br> scout out, reconnaissance
[sound:s8-0834_その会社は複数の部門を持っている。.mp3]	<b>(部門)</b> <br> その会社は複数の部門を持っている。<br> そのかいしゃはふくすうのぶもんをもっている。 <br> The company has multiple departments.			
<b>(部門)</b> <br> その会社は複数の部門を持っている。	[sound:s8-0834_その会社は複数の部門を持っている。.mp3] <br> そのかいしゃはふくすうのぶもんをもっている。 <br> The company has multiple departments.			
[sound:k8-0835_診察.mp3]	診察 <br> しんさつ <br> medical examination
medical examination	診察 <br> しんさつ <br> [sound:k8-0835_診察.mp3]
診察	[sound:k8-0835_診察.mp3] <br> しんさつ <br> medical examination
[sound:s8-0835_彼はその分野の専門家です。.mp3]	<b>(専門)</b> <br> 彼はその分野の専門家です。<br> かれはそのぶんやのせんもんかです。 <br> He is an expert in that field.			
<b>(専門)</b> <br> 彼はその分野の専門家です。	[sound:s8-0835_彼はその分野の専門家です。.mp3] <br> かれはそのぶんやのせんもんかです。 <br> He is an expert in that field.			
[sound:k8-0836_警察署.mp3]	警察署 <br> けいさつしょ <br> police station
police station	警察署 <br> けいさつしょ <br> [sound:k8-0836_警察署.mp3]
警察署	[sound:k8-0836_警察署.mp3] <br> けいさつしょ <br> police station
[sound:s8-0836_彼女は心理学の専門家です。.mp3]	<b>(専門家)</b> <br> 彼女は心理学の専門家です。<br> かのじょはしんりがくのせんもんかです。 <br> She is a specialist in psychology.			
<b>(専門家)</b> <br> 彼女は心理学の専門家です。	[sound:s8-0836_彼女は心理学の専門家です。.mp3] <br> かのじょはしんりがくのせんもんかです。 <br> She is a specialist in psychology.			
[sound:k8-0837_整.mp3]	整 <br> (kun: ととの.える, ととの.う; on: セイ) <br> organize, arranging, tune, tone, meter, key (music)
organize, arranging, tune, tone, meter, key (music)	整 <br> (kun: ととの.える, ととの.う; on: セイ) <br> [sound:k8-0837_整.mp3]
整	[sound:k8-0837_整.mp3] <br> (kun: ととの.える, ととの.う; on: セイ) <br> organize, arranging, tune, tone, meter, key (music)
[sound:s8-0837_彼は専門学校に通っている。.mp3]	<b>(専門学校)</b> <br> 彼は専門学校に通っている。<br> かれはせんもんがっこうにかよっている。 <br> He attends a vocational school.			
<b>(専門学校)</b> <br> 彼は専門学校に通っている。	[sound:s8-0837_彼は専門学校に通っている。.mp3] <br> かれはせんもんがっこうにかよっている。 <br> He attends a vocational school.			
[sound:k8-0838_調整.mp3]	調整 <br> ちょうせい <br> regulation, adjustment, tuning, modification, alteration
regulation, adjustment, tuning, modification, alteration	調整 <br> ちょうせい <br> [sound:k8-0838_調整.mp3]
調整	[sound:k8-0838_調整.mp3] <br> ちょうせい <br> regulation, adjustment, tuning, modification, alteration
[sound:s8-0838_彼は名門の家系から来ている。.mp3]	<b>(名門)</b> <br> 彼は名門の家系から来ている。<br> かれはめいもんのかけいからきている。 <br> He comes from a prestigious family.			
<b>(名門)</b> <br> 彼は名門の家系から来ている。	[sound:s8-0838_彼は名門の家系から来ている。.mp3] <br> かれはめいもんのかけいからきている。 <br> He comes from a prestigious family.			
[sound:k8-0839_整備.mp3]	整備 <br> せいび <br> maintenance, servicing, outfitting
maintenance, servicing, outfitting	整備 <br> せいび <br> [sound:k8-0839_整備.mp3]
整備	[sound:k8-0839_整備.mp3] <br> せいび <br> maintenance, servicing, outfitting
[sound:s8-0839_このコースは初心者向けの入門コースです。.mp3]	<b>(入門)</b> <br> このコースは初心者向けの入門コースです。<br> このコースはしょしんしゃむけのにゅうもんコースです。 <br> This course is an introductory course for beginners.			
<b>(入門)</b> <br> このコースは初心者向けの入門コースです。	[sound:s8-0839_このコースは初心者向けの入門コースです。.mp3] <br> このコースはしょしんしゃむけのにゅうもんコースです。 <br> This course is an introductory course for beginners.			
[sound:k8-0840_整った.mp3]	整った <br> ととのった <br> well-ordered, in good order, well-featured, well-regulated
well-ordered, in good order, well-featured, well-regulated	整った <br> ととのった <br> [sound:k8-0840_整った.mp3]
整った	[sound:k8-0840_整った.mp3] <br> ととのった <br> well-ordered, in good order, well-featured, well-regulated
[sound:s8-0840_彼は専門店で働いている。.mp3]	<b>(専門店)</b> <br> 彼は専門店で働いている。<br> かれはせんもんてんではたらいている。 <br> He works at a specialty store.			
<b>(専門店)</b> <br> 彼は専門店で働いている。	[sound:s8-0840_彼は専門店で働いている。.mp3] <br> かれはせんもんてんではたらいている。 <br> He works at a specialty store.			
[sound:k8-0841_整理.mp3]	整理 <br> せいり <br> sorting, arrangement, organization, putting in order, adjustment, regulation, liquidation
sorting, arrangement, organization, putting in order, adjustment, regulation, liquidation	整理 <br> せいり <br> [sound:k8-0841_整理.mp3]
整理	[sound:k8-0841_整理.mp3] <br> せいり <br> sorting, arrangement, organization, putting in order, adjustment, regulation, liquidation
[sound:s8-0841_板門店は南北の交渉の場所として有名です。.mp3]	<b>(板門店)</b> <br> 板門店は南北の交渉の場所として有名です。<br> いたもんてんはなんぼくのこうしょうのばしょとしてゆうめいです。 <br> The Joint Security Area is famous as a place for North-South negotiations.			
<b>(板門店)</b> <br> 板門店は南北の交渉の場所として有名です。	[sound:s8-0841_板門店は南北の交渉の場所として有名です。.mp3] <br> いたもんてんはなんぼくのこうしょうのばしょとしてゆうめいです。 <br> The Joint Security Area is famous as a place for North-South negotiations.			
[sound:k8-0842_整合.mp3]	整合 <br> せいごう <br> adjustment, coordination, integration, conformity
adjustment, coordination, integration, conformity	整合 <br> せいごう <br> [sound:k8-0842_整合.mp3]
整合	[sound:k8-0842_整合.mp3] <br> せいごう <br> adjustment, coordination, integration, conformity
[sound:s8-0842_その問題は専門的な知識が必要です。.mp3]	<b>(専門的)</b> <br> その問題は専門的な知識が必要です。<br> そのもんだいはせんもんてきなちしきがひつようです。 <br> That problem requires specialized knowledge.			
<b>(専門的)</b> <br> その問題は専門的な知識が必要です。	[sound:s8-0842_その問題は専門的な知識が必要です。.mp3] <br> そのもんだいはせんもんてきなちしきがひつようです。 <br> That problem requires specialized knowledge.			
[sound:k8-0843_不整脈.mp3]	不整脈 <br> ふせいみゃく <br> irregular pulse, arrhythmia
irregular pulse, arrhythmia	不整脈 <br> ふせいみゃく <br> [sound:k8-0843_不整脈.mp3]
