[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
<b>(短編)</b> <br> 彼は短編小説を書いています。	[sound:s8-5604_彼は短編小説を書いています。.mp3] <br> かれはたんぺんしょうせつをかいています。 <br> He is writing a short story.			
[sound:k8-5605_図書館.mp3]	図書館 <br> としょかん, ずしょかん <br> library
library	図書館 <br> としょかん, ずしょかん <br> [sound:k8-5605_図書館.mp3]
図書館	[sound:k8-5605_図書館.mp3] <br> としょかん, ずしょかん <br> library
[sound:s8-5605_彼女は長編小説を執筆しています。.mp3]	<b>(長編)</b> <br> 彼女は長編小説を執筆しています。<br> かのじょはちょうへんしょうせつをしっぴつしています。 <br> She is writing a long novel.			
<b>(長編)</b> <br> 彼女は長編小説を執筆しています。	[sound:s8-5605_彼女は長編小説を執筆しています。.mp3] <br> かのじょはちょうへんしょうせつをしっぴつしています。 <br> She is writing a long novel.			
[sound:k8-5606_映画館.mp3]	映画館 <br> えいがかん <br> movie theatre (theater), cinema
movie theatre (theater), cinema	映画館 <br> えいがかん <br> [sound:k8-5606_映画館.mp3]
映画館	[sound:k8-5606_映画館.mp3] <br> えいがかん <br> movie theatre (theater), cinema
[sound:s8-5606_その映画は小説を改編したものです。.mp3]	<b>(改編)</b> <br> その映画は小説を改編したものです。<br> そのえいがはしょうせつをかいへんしたものです。 <br> The movie is an adaptation of the novel.			
<b>(改編)</b> <br> その映画は小説を改編したものです。	[sound:s8-5606_その映画は小説を改編したものです。.mp3] <br> そのえいがはしょうせつをかいへんしたものです。 <br> The movie is an adaptation of the novel.			
[sound:k8-5607_館長.mp3]	館長 <br> かんちょう <br> superintendent, director, curator, chief librarian
superintendent, director, curator, chief librarian	館長 <br> かんちょう <br> [sound:k8-5607_館長.mp3]
館長	[sound:k8-5607_館長.mp3] <br> かんちょう <br> superintendent, director, curator, chief librarian
[sound:s8-5607_その映画には続編が計画されています。.mp3]	<b>(続編)</b> <br> その映画には続編が計画されています。<br> そのえいがにはぞくへんがけいかくされています。 <br> A sequel to the movie is planned.			
<b>(続編)</b> <br> その映画には続編が計画されています。	[sound:s8-5607_その映画には続編が計画されています。.mp3] <br> そのえいがにはぞくへんがけいかくされています。 <br> A sequel to the movie is planned.			
[sound:k8-5608_旅館.mp3]	旅館 <br> りょかん <br> Japanese hotel, inn, ryokan
Japanese hotel, inn, ryokan	旅館 <br> りょかん <br> [sound:k8-5608_旅館.mp3]
旅館	[sound:k8-5608_旅館.mp3] <br> りょかん <br> Japanese hotel, inn, ryokan
[sound:s8-5608_彼は新しいグループに編入されました。.mp3]	<b>(編入)</b> <br> 彼は新しいグループに編入されました。<br> かれはあたらしいぐるーぷにへんにゅうされました。 <br> He was admitted into a new group.			
<b>(編入)</b> <br> 彼は新しいグループに編入されました。	[sound:s8-5608_彼は新しいグループに編入されました。.mp3] <br> かれはあたらしいぐるーぷにへんにゅうされました。 <br> He was admitted into a new group.			
[sound:k8-5609_迎賓館.mp3]	迎賓館 <br> げいひんかん <br> reception hall
reception hall	迎賓館 <br> げいひんかん <br> [sound:k8-5609_迎賓館.mp3]
迎賓館	[sound:k8-5609_迎賓館.mp3] <br> げいひんかん <br> reception hall
[sound:s8-5609_警察は犯人を捜しています。.mp3]	<b>(捜)</b> <br> 警察は犯人を捜しています。<br> けいさつははんにんをさがしています。 <br> Police are searching for the criminal.			
<b>(捜)</b> <br> 警察は犯人を捜しています。	[sound:s8-5609_警察は犯人を捜しています。.mp3] <br> けいさつははんにんをさがしています。 <br> Police are searching for the criminal.			
[sound:k8-5610_公民館.mp3]	公民館 <br> こうみんかん <br> public hall, community center, community centre
public hall, community center, community centre	公民館 <br> こうみんかん <br> [sound:k8-5610_公民館.mp3]
公民館	[sound:k8-5610_公民館.mp3] <br> こうみんかん <br> public hall, community center, community centre
[sound:s8-5610_その事件の捜査が行われています。.mp3]	<b>(捜査)</b> <br> その事件の捜査が行われています。<br> そのじけんのそうさがおこなわれています。 <br> An investigation into the incident is underway.			
<b>(捜査)</b> <br> その事件の捜査が行われています。	[sound:s8-5610_その事件の捜査が行われています。.mp3] <br> そのじけんのそうさがおこなわれています。 <br> An investigation into the incident is underway.			
[sound:k8-5611_振.mp3]	振 <br> (kun: ふ.る, ぶ.る, ふ.り, -ぶ.り, ふ.るう; on: シン) <br> shake, wave, wag, swing
shake, wave, wag, swing	振 <br> (kun: ふ.る, ぶ.る, ふ.り, -ぶ.り, ふ.るう; on: シン) <br> [sound:k8-5611_振.mp3]
振	[sound:k8-5611_振.mp3] <br> (kun: ふ.る, ぶ.る, ふ.り, -ぶ.り, ふ.るう; on: シン) <br> shake, wave, wag, swing
[sound:s8-5611_特捜部は重要な事件に対応しています。.mp3]	<b>(特捜)</b> <br> 特捜部は重要な事件に対応しています。<br> とくそうぶはじゅうようなじけんにたいおうしています。 <br> The special investigation department is handling important cases.			
<b>(特捜)</b> <br> 特捜部は重要な事件に対応しています。	[sound:s8-5611_特捜部は重要な事件に対応しています。.mp3] <br> とくそうぶはじゅうようなじけんにたいおうしています。 <br> The special investigation department is handling important cases.			
[sound:k8-5612_振興.mp3]	振興 <br> しんこう <br> promotion, encouragement
promotion, encouragement	振興 <br> しんこう <br> [sound:k8-5612_振興.mp3]
振興	[sound:k8-5612_振興.mp3] <br> しんこう <br> promotion, encouragement
[sound:s8-5612_彼女の失踪に対する捜索が行われました。.mp3]	<b>(捜索)</b> <br> 彼女の失踪に対する捜索が行われました。<br> かのじょのしっそうにたいするそうさくがおこなわれました。 <br> A search was conducted for her disappearance.			
<b>(捜索)</b> <br> 彼女の失踪に対する捜索が行われました。	[sound:s8-5612_彼女の失踪に対する捜索が行われました。.mp3] <br> かのじょのしっそうにたいするそうさくがおこなわれました。 <br> A search was conducted for her disappearance.			
[sound:k8-5613_不振.mp3]	不振 <br> ふしん <br> dullness, depression, slump, stagnation
dullness, depression, slump, stagnation	不振 <br> ふしん <br> [sound:k8-5613_不振.mp3]
不振	[sound:k8-5613_不振.mp3] <br> ふしん <br> dullness, depression, slump, stagnation
[sound:s8-5613_彼らは彼を町中で捜し回った。.mp3]	<b>(捜し回る)</b> <br> 彼らは彼を町中で捜し回った。<br> かれらはかれをまちなかでさがしまわった。 <br> They searched for him all over town.			
<b>(捜し回る)</b> <br> 彼らは彼を町中で捜し回った。	[sound:s8-5613_彼らは彼を町中で捜し回った。.mp3] <br> かれらはかれをまちなかでさがしまわった。 <br> They searched for him all over town.			
[sound:k8-5614_三振.mp3]	三振 <br> さんしん <br> strike out (baseball), fanning out
strike out (baseball), fanning out	三振 <br> さんしん <br> [sound:k8-5614_三振.mp3]
三振	[sound:k8-5614_三振.mp3] <br> さんしん <br> strike out (baseball), fanning out
[sound:s8-5614_彼は彼女を必死に捜しました。.mp3]	<b>(捜す)</b> <br> 彼は彼女を必死に捜しました。<br> かれはかのじょをひっしにさがしました。 <br> He desperately searched for her.			
<b>(捜す)</b> <br> 彼は彼女を必死に捜しました。	[sound:s8-5614_彼は彼女を必死に捜しました。.mp3] <br> かれはかのじょをひっしにさがしました。 <br> He desperately searched for her.			
[sound:k8-5615_振り.mp3]	振り <br> ふり <br> pretence (pretense), show; appearance, behaviour; swing, swinging; lacking a reservation or introduction (at a restaurant, etc.); unsewn part of a hanging sleeve on a traditional Japanese woman's garment
pretence (pretense), show; appearance, behaviour; swing, swinging; lacking a reservation or introduction (at a restaurant, etc.); unsewn part of a hanging sleeve on a traditional Japanese woman's garment	振り <br> ふり <br> [sound:k8-5615_振り.mp3]
振り	[sound:k8-5615_振り.mp3] <br> ふり <br> pretence (pretense), show; appearance, behaviour; swing, swinging; lacking a reservation or introduction (at a restaurant, etc.); unsewn part of a hanging sleeve on a traditional Japanese woman's garment
[sound:s8-5615_捜索隊が山岳地帯を捜索しています。.mp3]	<b>(捜索隊)</b> <br> 捜索隊が山岳地帯を捜索しています。<br> そうさくたいがさんがくちたいをそうさくしています。 <br> Search teams are searching the mountainous area.			
<b>(捜索隊)</b> <br> 捜索隊が山岳地帯を捜索しています。	[sound:s8-5615_捜索隊が山岳地帯を捜索しています。.mp3] <br> そうさくたいがさんがくちたいをそうさくしています。 <br> Search teams are searching the mountainous area.			
[sound:k8-5616_振動.mp3]	振動 <br> しんどう <br> oscillation, vibration
oscillation, vibration	振動 <br> しんどう <br> [sound:k8-5616_振動.mp3]
振動	[sound:k8-5616_振動.mp3] <br> しんどう <br> oscillation, vibration
[sound:s8-5616_警察は聞き込み捜査を行っている。.mp3]	<b>(聞き込み捜査)</b> <br> 警察は聞き込み捜査を行っている。<br> けいさつはききこみそうさをおこなっている。 <br> Police are conducting an inquiry investigation.			
<b>(聞き込み捜査)</b> <br> 警察は聞き込み捜査を行っている。	[sound:s8-5616_警察は聞き込み捜査を行っている。.mp3] <br> けいさつはききこみそうさをおこなっている。 <br> Police are conducting an inquiry investigation.			
[sound:k8-5617_奪三振.mp3]	奪三振 <br> だつさんしん <br> striking a batter out
striking a batter out	奪三振 <br> だつさんしん <br> [sound:k8-5617_奪三振.mp3]
奪三振	[sound:k8-5617_奪三振.mp3] <br> だつさんしん <br> striking a batter out
[sound:s8-5617_私たちは家中をあら捜ししたが、何も見つかりませんでした。.mp3]	<b>(あら捜し)</b> <br> 私たちは家中をあら捜ししたが、何も見つかりませんでした。<br> わたしたちはいえじゅうをあらさがししたが、なにもみつかりませんでした。 <br> We searched the whole house thoroughly, but found nothing.			
<b>(あら捜し)</b> <br> 私たちは家中をあら捜ししたが、何も見つかりませんでした。	[sound:s8-5617_私たちは家中をあら捜ししたが、何も見つかりませんでした。.mp3] <br> わたしたちはいえじゅうをあらさがししたが、なにもみつかりませんでした。 <br> We searched the whole house thoroughly, but found nothing.			
[sound:k8-5618_振り返る.mp3]	振り返る <br> ふりかえる <br> to turn head, to look over one's shoulder, to turn around, to look back
to turn head, to look over one's shoulder, to turn around, to look back	振り返る <br> ふりかえる <br> [sound:k8-5618_振り返る.mp3]
振り返る	[sound:k8-5618_振り返る.mp3] <br> ふりかえる <br> to turn head, to look over one's shoulder, to turn around, to look back
[sound:s8-5618_警察は容疑者の家宅捜査を行った。.mp3]	<b>(家宅捜査)</b> <br> 警察は容疑者の家宅捜査を行った。<br> けいさつはようぎしゃのかたくそうさをおこなった。 <br> Police conducted a home search of the suspect.			
<b>(家宅捜査)</b> <br> 警察は容疑者の家宅捜査を行った。	[sound:s8-5618_警察は容疑者の家宅捜査を行った。.mp3] <br> けいさつはようぎしゃのかたくそうさをおこなった。 <br> Police conducted a home search of the suspect.			
[sound:k8-5619_振替.mp3]	振替 <br> ふりかえ <br> transfer (money), change
transfer (money), change	振替 <br> ふりかえ <br> [sound:k8-5619_振替.mp3]
振替	[sound:k8-5619_振替.mp3] <br> ふりかえ <br> transfer (money), change
[sound:s8-5619_彼らは容疑者の家宅捜索を行った。.mp3]	<b>(家宅捜索)</b> <br> 彼らは容疑者の家宅捜索を行った。<br> かれらはようぎしゃのかたくそうさをおこなった。 <br> They conducted a home search of the suspect.			
<b>(家宅捜索)</b> <br> 彼らは容疑者の家宅捜索を行った。	[sound:s8-5619_彼らは容疑者の家宅捜索を行った。.mp3] <br> かれらはようぎしゃのかたくそうさをおこなった。 <br> They conducted a home search of the suspect.			
[sound:k8-5620_振り回す.mp3]	振り回す <br> ふりまわす <br> to wield, to brandish, to flourish, to wave (about), to swing, to display, to show off, to abuse
to wield, to brandish, to flourish, to wave (about), to swing, to display, to show off, to abuse	振り回す <br> ふりまわす <br> [sound:k8-5620_振り回す.mp3]
振り回す	[sound:k8-5620_振り回す.mp3] <br> ふりまわす <br> to wield, to brandish, to flourish, to wave (about), to swing, to display, to show off, to abuse
[sound:s8-5620_竹は非常に速く成長します。.mp3]	<b>(竹)</b> <br> 竹は非常に速く成長します。<br> たけはひじょうにはやくせいちょうします。 <br> Bamboo grows very quickly.			
<b>(竹)</b> <br> 竹は非常に速く成長します。	[sound:s8-5620_竹は非常に速く成長します。.mp3] <br> たけはひじょうにはやくせいちょうします。 <br> Bamboo grows very quickly.			
[sound:k8-5621_振り込み.mp3]	振り込み <br> ふりこみ <br> payment made via bank deposit transfer
payment made via bank deposit transfer	振り込み <br> ふりこみ <br> [sound:k8-5621_振り込み.mp3]
振り込み	[sound:k8-5621_振り込み.mp3] <br> ふりこみ <br> payment made via bank deposit transfer
[sound:s8-5621_竹を使って家具を作りました。.mp3]	<b>(竹)</b> <br> 竹を使って家具を作りました。<br> たけをつかってかぐをつくりました。 <br> I made furniture using bamboo.			
<b>(竹)</b> <br> 竹を使って家具を作りました。	[sound:s8-5621_竹を使って家具を作りました。.mp3] <br> たけをつかってかぐをつくりました。 <br> I made furniture using bamboo.			
[sound:k8-5622_給.mp3]	給 <br> (kun: たま.う, たも.う, -たま.え; on: キュウ) <br> salary, wage, gift, allow, grant, bestow on
salary, wage, gift, allow, grant, bestow on	給 <br> (kun: たま.う, たも.う, -たま.え; on: キュウ) <br> [sound:k8-5622_給.mp3]
給	[sound:k8-5622_給.mp3] <br> (kun: たま.う, たも.う, -たま.え; on: キュウ) <br> salary, wage, gift, allow, grant, bestow on
[sound:s8-5622_祭りの時に爆竹が鳴り響いた。.mp3]	<b>(爆竹)</b> <br> 祭りの時に爆竹が鳴り響いた。<br> まつりのときにばくちくがなりひびいた。 <br> Firecrackers rang out during the festival.			
<b>(爆竹)</b> <br> 祭りの時に爆竹が鳴り響いた。	[sound:s8-5622_祭りの時に爆竹が鳴り響いた。.mp3] <br> まつりのときにばくちくがなりひびいた。 <br> Firecrackers rang out during the festival.			
[sound:k8-5623_供給.mp3]	供給 <br> きょうきゅう <br> supply, provision
supply, provision	供給 <br> きょうきゅう <br> [sound:k8-5623_供給.mp3]
供給	[sound:k8-5623_供給.mp3] <br> きょうきゅう <br> supply, provision
[sound:s8-5623_竹林の中を散歩しました。.mp3]	<b>(竹林)</b> <br> 竹林の中を散歩しました。<br> ちくりんのなかをさんぽしました。 <br> I took a walk in the bamboo forest.			
<b>(竹林)</b> <br> 竹林の中を散歩しました。	[sound:s8-5623_竹林の中を散歩しました。.mp3] <br> ちくりんのなかをさんぽしました。 <br> I took a walk in the bamboo forest.			
[sound:k8-5624_給与.mp3]	給与 <br> きゅうよ <br> pay, salary, wages, allowance, grant, supply
pay, salary, wages, allowance, grant, supply	給与 <br> きゅうよ <br> [sound:k8-5624_給与.mp3]
給与	[sound:k8-5624_給与.mp3] <br> きゅうよ <br> pay, salary, wages, allowance, grant, supply
[sound:s8-5624_彼は剣道で竹刀を使っています。.mp3]	<b>(竹刀)</b> <br> 彼は剣道で竹刀を使っています。<br> かれはけんどうでしちゅうをつかっています。 <br> He uses a bamboo sword in kendo.			
<b>(竹刀)</b> <br> 彼は剣道で竹刀を使っています。	[sound:s8-5624_彼は剣道で竹刀を使っています。.mp3] <br> かれはけんどうでしちゅうをつかっています。 <br> He uses a bamboo sword in kendo.			
[sound:k8-5625_支給.mp3]	支給 <br> しきゅう <br> provision, supply, payment, allowance, grant
provision, supply, payment, allowance, grant	支給 <br> しきゅう <br> [sound:k8-5625_支給.mp3]
支給	[sound:k8-5625_支給.mp3] <br> しきゅう <br> provision, supply, payment, allowance, grant
[sound:s8-5625_庭に青竹が植えられています。.mp3]	<b>(青竹)</b> <br> 庭に青竹が植えられています。<br> にわにあおたけがうえられています。 <br> There are green bamboo planted in the garden.			
<b>(青竹)</b> <br> 庭に青竹が植えられています。	[sound:s8-5625_庭に青竹が植えられています。.mp3] <br> にわにあおたけがうえられています。 <br> There are green bamboo planted in the garden.			
[sound:k8-5626_給食.mp3]	給食 <br> きゅうしょく <br> school lunch, providing a meal
school lunch, providing a meal	給食 <br> きゅうしょく <br> [sound:k8-5626_給食.mp3]
給食	[sound:k8-5626_給食.mp3] <br> きゅうしょく <br> school lunch, providing a meal
[sound:s8-5626_子供の頃、竹馬で遊んでいた。.mp3]	<b>(竹馬)</b> <br> 子供の頃、竹馬で遊んでいた。<br> こどものころ、たけうまであそんでいた。 <br> I used to play with stilts when I was a child.			
<b>(竹馬)</b> <br> 子供の頃、竹馬で遊んでいた。	[sound:s8-5626_子供の頃、竹馬で遊んでいた。.mp3] <br> こどものころ、たけうまであそんでいた。 <br> I used to play with stilts when I was a child.			
[sound:k8-5627_給料.mp3]	給料 <br> きゅうりょう <br> salary, wages
salary, wages	給料 <br> きゅうりょう <br> [sound:k8-5627_給料.mp3]
給料	[sound:k8-5627_給料.mp3] <br> きゅうりょう <br> salary, wages
[sound:s8-5627_そのかごは竹細工で作られています。.mp3]	<b>(竹細工)</b> <br> そのかごは竹細工で作られています。<br> そのかごはたけざいくでつくられています。 <br> That basket is made of bamboo craft.			
<b>(竹細工)</b> <br> そのかごは竹細工で作られています。	[sound:s8-5627_そのかごは竹細工で作られています。.mp3] <br> そのかごはたけざいくでつくられています。 <br> That basket is made of bamboo craft.			
[sound:k8-5628_需給.mp3]	需給 <br> じゅきゅう <br> supply and demand
supply and demand	需給 <br> じゅきゅう <br> [sound:k8-5628_需給.mp3]
需給	[sound:k8-5628_需給.mp3] <br> じゅきゅう <br> supply and demand
[sound:s8-5628_さお竹で笛を作りました。.mp3]	<b>(さお竹)</b> <br> さお竹で笛を作りました。<br> さおだけでふえをつくりました。 <br> I made a flute with bamboo.			
<b>(さお竹)</b> <br> さお竹で笛を作りました。	[sound:s8-5628_さお竹で笛を作りました。.mp3] <br> さおだけでふえをつくりました。 <br> I made a flute with bamboo.			
[sound:k8-5629_給付.mp3]	給付 <br> きゅうふ <br> payment, provision, benefit, present, delivery; performance
payment, provision, benefit, present, delivery; performance	給付 <br> きゅうふ <br> [sound:k8-5629_給付.mp3]
給付	[sound:k8-5629_給付.mp3] <br> きゅうふ <br> payment, provision, benefit, present, delivery; performance
[sound:s8-5629_竹とんぼが風に乗って飛んでいる。.mp3]	<b>(竹とんぼ)</b> <br> 竹とんぼが風に乗って飛んでいる。<br> たけとんぼがかぜにのってとんでいる。 <br> The bamboo dragonfly is flying in the wind.			
<b>(竹とんぼ)</b> <br> 竹とんぼが風に乗って飛んでいる。	[sound:s8-5629_竹とんぼが風に乗って飛んでいる。.mp3] <br> たけとんぼがかぜにのってとんでいる。 <br> The bamboo dragonfly is flying in the wind.			
[sound:k8-5630_配給.mp3]	配給 <br> はいきゅう <br> distribution (e.g. films, rice)
distribution (e.g. films, rice)	配給 <br> はいきゅう <br> [sound:k8-5630_配給.mp3]
配給	[sound:k8-5630_配給.mp3] <br> はいきゅう <br> distribution (e.g. films, rice)
[sound:s8-5630_老人は竹のつえを使って歩いていた。.mp3]	<b>(竹のつえ)</b> <br> 老人は竹のつえを使って歩いていた。<br> ろうじんはたけのつえをつかってあるいていた。 <br> The old man walked with a bamboo cane.			
<b>(竹のつえ)</b> <br> 老人は竹のつえを使って歩いていた。	[sound:s8-5630_老人は竹のつえを使って歩いていた。.mp3] <br> ろうじんはたけのつえをつかってあるいていた。 <br> The old man walked with a bamboo cane.			
[sound:k8-5631_補給.mp3]	補給 <br> ほきゅう <br> supply, supplying, replenishment
supply, supplying, replenishment	補給 <br> ほきゅう <br> [sound:k8-5631_補給.mp3]
補給	[sound:k8-5631_補給.mp3] <br> ほきゅう <br> supply, supplying, replenishment
[sound:s8-5631_除湿機は湿気を取り除きます。.mp3]	<b>(除)</b> <br> 除湿機は湿気を取り除きます。<br> じょしつきはしっけをとりのぞきます。 <br> A dehumidifier removes moisture.			
<b>(除)</b> <br> 除湿機は湿気を取り除きます。	[sound:s8-5631_除湿機は湿気を取り除きます。.mp3] <br> じょしつきはしっけをとりのぞきます。 <br> A dehumidifier removes moisture.			
[sound:k8-5632_自給.mp3]	自給 <br> じきゅう <br> self-support
self-support	自給 <br> じきゅう <br> [sound:k8-5632_自給.mp3]
自給	[sound:k8-5632_自給.mp3] <br> じきゅう <br> self-support
[sound:s8-5632_彼は彼女を除いて誰もいなかった。.mp3]	<b>(除いて)</b> <br> 彼は彼女を除いて誰もいなかった。<br> かれはかのじょをのぞいてだれもいなかった。 <br> Except for her, there was nobody.			
<b>(除いて)</b> <br> 彼は彼女を除いて誰もいなかった。	[sound:s8-5632_彼は彼女を除いて誰もいなかった。.mp3] <br> かれはかのじょをのぞいてだれもいなかった。 <br> Except for her, there was nobody.			
[sound:k8-5633_屋.mp3]	屋 <br> (kun: や; on: オク) <br> roof, house, shop, dealer, seller
roof, house, shop, dealer, seller	屋 <br> (kun: や; on: オク) <br> [sound:k8-5633_屋.mp3]
屋	[sound:k8-5633_屋.mp3] <br> (kun: や; on: オク) <br> roof, house, shop, dealer, seller
[sound:s8-5633_彼は契約を解除する権利を持っています。.mp3]	<b>(解除)</b> <br> 彼は契約を解除する権利を持っています。<br> かれはけいやくをかいじょするけんりをもっています。 <br> He has the right to terminate the contract.			
<b>(解除)</b> <br> 彼は契約を解除する権利を持っています。	[sound:s8-5633_彼は契約を解除する権利を持っています。.mp3] <br> かれはけいやくをかいじょするけんりをもっています。 <br> He has the right to terminate the contract.			
[sound:k8-5634_部屋.mp3]	部屋 <br> へや <br> room; sumo stable
room; sumo stable	部屋 <br> へや <br> [sound:k8-5634_部屋.mp3]
部屋	[sound:k8-5634_部屋.mp3] <br> へや <br> room; sumo stable
[sound:s8-5634_この控除は所得税からの免除です。.mp3]	<b>(控除)</b> <br> この控除は所得税からの免除です。<br> このこうじょはしょとくぜいからのめんじょです。 <br> This deduction is an exemption from income tax.			
<b>(控除)</b> <br> この控除は所得税からの免除です。	[sound:s8-5634_この控除は所得税からの免除です。.mp3] <br> このこうじょはしょとくぜいからのめんじょです。 <br> This deduction is an exemption from income tax.			
[sound:k8-5635_屋根.mp3]	屋根 <br> やね <br> roof
roof	屋根 <br> やね <br> [sound:k8-5635_屋根.mp3]
屋根	[sound:k8-5635_屋根.mp3] <br> やね <br> roof
[sound:s8-5635_私たちはそのリスクを排除する必要があります。.mp3]	<b>(排除)</b> <br> 私たちはそのリスクを排除する必要があります。<br> わたしたちはそのりすくをはいじょするひつようがあります。 <br> We need to eliminate that risk.			
<b>(排除)</b> <br> 私たちはそのリスクを排除する必要があります。	[sound:s8-5635_私たちはそのリスクを排除する必要があります。.mp3] <br> わたしたちはそのりすくをはいじょするひつようがあります。 <br> We need to eliminate that risk.			
[sound:k8-5636_総会屋.mp3]	総会屋 <br> そうかいや <br> extortionist that threatens to disrupt stock-holder meetings
extortionist that threatens to disrupt stock-holder meetings	総会屋 <br> そうかいや <br> [sound:k8-5636_総会屋.mp3]
総会屋	[sound:k8-5636_総会屋.mp3] <br> そうかいや <br> extortionist that threatens to disrupt stock-holder meetings
[sound:s8-5636_廃棄物を除去する方法を見つける必要があります。.mp3]	<b>(除去)</b> <br> 廃棄物を除去する方法を見つける必要があります。<br> はいきぶつをじょきょするほうほうをみつけるひつようがあります。 <br> We need to find a way to remove the waste.			
<b>(除去)</b> <br> 廃棄物を除去する方法を見つける必要があります。	[sound:s8-5636_廃棄物を除去する方法を見つける必要があります。.mp3] <br> はいきぶつをじょきょするほうほうをみつけるひつようがあります。 <br> We need to find a way to remove the waste.			
[sound:k8-5637_小屋.mp3]	小屋 <br> こや <br> hut, cabin, shed, (animal) pen
hut, cabin, shed, (animal) pen	小屋 <br> こや <br> [sound:k8-5637_小屋.mp3]
小屋	[sound:k8-5637_小屋.mp3] <br> こや <br> hut, cabin, shed, (animal) pen
[sound:s8-5637_毎週、家を掃除する習慣があります。.mp3]	<b>(掃除)</b> <br> 毎週、家を掃除する習慣があります。<br> まいしゅう、いえをそうじするしゅうかんがあります。 <br> I have a habit of cleaning the house every week.			
<b>(掃除)</b> <br> 毎週、家を掃除する習慣があります。	[sound:s8-5637_毎週、家を掃除する習慣があります。.mp3] <br> まいしゅう、いえをそうじするしゅうかんがあります。 <br> I have a habit of cleaning the house every week.			
[sound:k8-5638_屋上.mp3]	屋上 <br> おくじょう <br> rooftop
rooftop	屋上 <br> おくじょう <br> [sound:k8-5638_屋上.mp3]
屋上	[sound:k8-5638_屋上.mp3] <br> おくじょう <br> rooftop
[sound:s8-5638_彼はクラブから除名されました。.mp3]	<b>(除名)</b> <br> 彼はクラブから除名されました。<br> かれはくらぶからじょめいされました。 <br> He was expelled from the club.			
<b>(除名)</b> <br> 彼はクラブから除名されました。	[sound:s8-5638_彼はクラブから除名されました。.mp3] <br> かれはくらぶからじょめいされました。 <br> He was expelled from the club.			
[sound:k8-5639_料理屋.mp3]	料理屋 <br> りょうりや <br> restaurant
restaurant	料理屋 <br> りょうりや <br> [sound:k8-5639_料理屋.mp3]
料理屋	[sound:k8-5639_料理屋.mp3] <br> りょうりや <br> restaurant
[sound:s8-5639_この免除は給料からの控除です。.mp3]	<b>(免除)</b> <br> この免除は給料からの控除です。<br> このめんじょはきゅうりょうからのこうじょです。 <br> This exemption is a deduction from the salary.			
<b>(免除)</b> <br> この免除は給料からの控除です。	[sound:s8-5639_この免除は給料からの控除です。.mp3] <br> このめんじょはきゅうりょうからのこうじょです。 <br> This exemption is a deduction from the salary.			
[sound:k8-5640_家屋.mp3]	家屋 <br> かおく <br> house, building
house, building	家屋 <br> かおく <br> [sound:k8-5640_家屋.mp3]
家屋	[sound:k8-5640_家屋.mp3] <br> かおく <br> house, building
[sound:s8-5640_私たちは彼を会議から除外した。.mp3]	<b>(除外)</b> <br> 私たちは彼を会議から除外した。<br> わたしたちはかれをかいぎからじょがいした。 <br> We excluded him from the meeting.			
