[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
<b>(月額)</b> <br> 家賃は月額いくらですか。	[sound:s8-3607_家賃は月額いくらですか。.mp3] <br> やちんはげつがくいくらですか。 <br> How much is the monthly rent?			
[sound:k8-3608_英知.mp3]	英知 <br> えいち <br> intelligence
intelligence	英知 <br> えいち <br> [sound:k8-3608_英知.mp3]
英知	[sound:k8-3608_英知.mp3] <br> えいち <br> intelligence
[sound:s8-3608_高額な買い物をする前に検討してください。.mp3]	<b>(高額)</b> <br> 高額な買い物をする前に検討してください。<br> こうがくなかいものをするまえにけんとうしてください。 <br> Please consider before making high-value purchases.			
<b>(高額)</b> <br> 高額な買い物をする前に検討してください。	[sound:s8-3608_高額な買い物をする前に検討してください。.mp3] <br> こうがくなかいものをするまえにけんとうしてください。 <br> Please consider before making high-value purchases.			
[sound:k8-3609_被.mp3]	被 <br> (kun: こうむ.る, おお.う, かぶ.る, かぶ.せる; on: ヒ) <br> incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving
incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving	被 <br> (kun: こうむ.る, おお.う, かぶ.る, かぶ.せる; on: ヒ) <br> [sound:k8-3609_被.mp3]
被	[sound:k8-3609_被.mp3] <br> (kun: こうむ.る, おお.う, かぶ.る, かぶ.せる; on: ヒ) <br> incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving
[sound:s8-3609_税額を計算するためには、収入を把握する必要があります。.mp3]	<b>(税額)</b> <br> 税額を計算するためには、収入を把握する必要があります。<br> ぜいがくをけいさんするためには、しゅうにゅうをはあくするひつようがあります。 <br> To calculate the tax amount, you need to understand your income.			
<b>(税額)</b> <br> 税額を計算するためには、収入を把握する必要があります。	[sound:s8-3609_税額を計算するためには、収入を把握する必要があります。.mp3] <br> ぜいがくをけいさんするためには、しゅうにゅうをはあくするひつようがあります。 <br> To calculate the tax amount, you need to understand your income.			
[sound:k8-3610_被告.mp3]	被告 <br> ひこく <br> defendant, the accused
defendant, the accused	被告 <br> ひこく <br> [sound:k8-3610_被告.mp3]
被告	[sound:k8-3610_被告.mp3] <br> ひこく <br> defendant, the accused
[sound:s8-3610_彼はその映画の監督です。.mp3]	<b>(監)</b> <br> 彼はその映画の監督です。<br> かれはそのえいがのかんとくです。 <br> He is the director of the movie.			
<b>(監)</b> <br> 彼はその映画の監督です。	[sound:s8-3610_彼はその映画の監督です。.mp3] <br> かれはそのえいがのかんとくです。 <br> He is the director of the movie.			
[sound:k8-3611_被害.mp3]	被害 <br> ひがい <br> damage
damage	被害 <br> ひがい <br> [sound:k8-3611_被害.mp3]
被害	[sound:k8-3611_被害.mp3] <br> ひがい <br> damage
[sound:s8-3611_彼は部下を監督しています。.mp3]	<b>(監督)</b> <br> 彼は部下を監督しています。<br> かれはぶかをかんとくしています。 <br> He supervises his subordinates.			
<b>(監督)</b> <br> 彼は部下を監督しています。	[sound:s8-3611_彼は部下を監督しています。.mp3] <br> かれはぶかをかんとくしています。 <br> He supervises his subordinates.			
[sound:k8-3612_被害者.mp3]	被害者 <br> ひがいしゃ <br> victim, injured party, sufferer
victim, injured party, sufferer	被害者 <br> ひがいしゃ <br> [sound:k8-3612_被害者.mp3]
被害者	[sound:k8-3612_被害者.mp3] <br> ひがいしゃ <br> victim, injured party, sufferer
[sound:s8-3612_カメラは動きを監視しています。.mp3]	<b>(監視)</b> <br> カメラは動きを監視しています。<br> かめらはうごきをかんししています。 <br> The cameras are monitoring the movement.			
<b>(監視)</b> <br> カメラは動きを監視しています。	[sound:s8-3612_カメラは動きを監視しています。.mp3] <br> かめらはうごきをかんししています。 <br> The cameras are monitoring the movement.			
[sound:k8-3613_被災.mp3]	被災 <br> ひさい <br> being a victim of (some disaster), suffering from
being a victim of (some disaster), suffering from	被災 <br> ひさい <br> [sound:k8-3613_被災.mp3]
被災	[sound:k8-3613_被災.mp3] <br> ひさい <br> being a victim of (some disaster), suffering from
[sound:s8-3613_彼女はその会社の監査役です。.mp3]	<b>(監査役)</b> <br> 彼女はその会社の監査役です。<br> かのじょはそのかいしゃのかんさやくです。 <br> She is the auditor of the company.			
<b>(監査役)</b> <br> 彼女はその会社の監査役です。	[sound:s8-3613_彼女はその会社の監査役です。.mp3] <br> かのじょはそのかいしゃのかんさやくです。 <br> She is the auditor of the company.			
[sound:k8-3614_被爆.mp3]	被爆 <br> ひばく <br> bombed, A-bombed, nuked
bombed, A-bombed, nuked	被爆 <br> ひばく <br> [sound:k8-3614_被爆.mp3]
被爆	[sound:k8-3614_被爆.mp3] <br> ひばく <br> bombed, A-bombed, nuked
[sound:s8-3614_会計の監査が行われました。.mp3]	<b>(監査)</b> <br> 会計の監査が行われました。<br> かいけいのかんさがおこなわれました。 <br> An audit of the accounts was conducted.			
<b>(監査)</b> <br> 会計の監査が行われました。	[sound:s8-3614_会計の監査が行われました。.mp3] <br> かいけいのかんさがおこなわれました。 <br> An audit of the accounts was conducted.			
[sound:k8-3615_被告人.mp3]	被告人 <br> ひこくにん <br> accused, defendant, prisoner at the bar
accused, defendant, prisoner at the bar	被告人 <br> ひこくにん <br> [sound:k8-3615_被告人.mp3]
被告人	[sound:k8-3615_被告人.mp3] <br> ひこくにん <br> accused, defendant, prisoner at the bar
[sound:s8-3615_彼らは一週間も監禁されていた。.mp3]	<b>(監禁)</b> <br> 彼らは一週間も監禁されていた。<br> かれらはいっしゅうかんもかんきんされていた。 <br> They were held captive for a week.			
<b>(監禁)</b> <br> 彼らは一週間も監禁されていた。	[sound:s8-3615_彼らは一週間も監禁されていた。.mp3] <br> かれらはいっしゅうかんもかんきんされていた。 <br> They were held captive for a week.			
[sound:k8-3616_被疑者.mp3]	被疑者 <br> ひぎしゃ <br> a suspect
a suspect	被疑者 <br> ひぎしゃ <br> [sound:k8-3616_被疑者.mp3]
被疑者	[sound:k8-3616_被疑者.mp3] <br> ひぎしゃ <br> a suspect
[sound:s8-3616_そのプロジェクトは独立した監察機関によって監察されます。.mp3]	<b>(監察)</b> <br> そのプロジェクトは独立した監察機関によって監察されます。<br> そのぷろじぇくとはどくりつしたかんさつきかんによってかんさつされます。 <br> The project is supervised by an independent inspection agency.			
<b>(監察)</b> <br> そのプロジェクトは独立した監察機関によって監察されます。	[sound:s8-3616_そのプロジェクトは独立した監察機関によって監察されます。.mp3] <br> そのぷろじぇくとはどくりつしたかんさつきかんによってかんさつされます。 <br> The project is supervised by an independent inspection agency.			
[sound:k8-3617_被保険者.mp3]	被保険者 <br> ひほけんしゃ <br> insured person
insured person	被保険者 <br> ひほけんしゃ <br> [sound:k8-3617_被保険者.mp3]
被保険者	[sound:k8-3617_被保険者.mp3] <br> ひほけんしゃ <br> insured person
[sound:s8-3617_彼はその本の監修をしました。.mp3]	<b>(監修)</b> <br> 彼はその本の監修をしました。<br> かれはそのほんのかんしゅうをしました。 <br> He supervised the editing of the book.			
<b>(監修)</b> <br> 彼はその本の監修をしました。	[sound:s8-3617_彼はその本の監修をしました。.mp3] <br> かれはそのほんのかんしゅうをしました。 <br> He supervised the editing of the book.			
[sound:k8-3618_被写体.mp3]	被写体 <br> ひしゃたい <br> (photographic) subject
(photographic) subject	被写体 <br> ひしゃたい <br> [sound:k8-3618_被写体.mp3]
被写体	[sound:k8-3618_被写体.mp3] <br> ひしゃたい <br> (photographic) subject
[sound:s8-3618_彼はその団体の総監です。.mp3]	<b>(総監)</b> <br> 彼はその団体の総監です。<br> かれはそのだんたいのそうかんです。 <br> He is the superintendent of the organization.			
<b>(総監)</b> <br> 彼はその団体の総監です。	[sound:s8-3618_彼はその団体の総監です。.mp3] <br> かれはそのだんたいのそうかんです。 <br> He is the superintendent of the organization.			
[sound:k8-3619_被服.mp3]	被服 <br> ひふく <br> clothing
clothing	被服 <br> ひふく <br> [sound:k8-3619_被服.mp3]
被服	[sound:k8-3619_被服.mp3] <br> ひふく <br> clothing
[sound:s8-3619_彼は監獄に収監されました。.mp3]	<b>(監獄)</b> <br> 彼は監獄に収監されました。<br> かれはかんごくにしゅうかんされました。 <br> He was imprisoned in jail.			
<b>(監獄)</b> <br> 彼は監獄に収監されました。	[sound:s8-3619_彼は監獄に収監されました。.mp3] <br> かれはかんごくにしゅうかんされました。 <br> He was imprisoned in jail.			
[sound:k8-3620_株.mp3]	株 <br> (kun: かぶ; on: シュ) <br> stocks, stump, shares, stock, counter for small plants
stocks, stump, shares, stock, counter for small plants	株 <br> (kun: かぶ; on: シュ) <br> [sound:k8-3620_株.mp3]
株	[sound:k8-3620_株.mp3] <br> (kun: かぶ; on: シュ) <br> stocks, stump, shares, stock, counter for small plants
[sound:s8-3620_彼はその案件の監理を任されました。.mp3]	<b>(監理)</b> <br> 彼はその案件の監理を任されました。<br> かれはそのあんけんのかんりをまかされました。 <br> He was entrusted with the supervision of the project.			
<b>(監理)</b> <br> 彼はその案件の監理を任されました。	[sound:s8-3620_彼はその案件の監理を任されました。.mp3] <br> かれはそのあんけんのかんりをまかされました。 <br> He was entrusted with the supervision of the project.			
[sound:k8-3621_株.mp3]	株 <br> かぶ <br> share, stock, stump (of tree)
share, stock, stump (of tree)	株 <br> かぶ <br> [sound:k8-3621_株.mp3]
株	[sound:k8-3621_株.mp3] <br> かぶ <br> share, stock, stump (of tree)
[sound:s8-3621_彼は環境問題に関心があります。.mp3]	<b>(環)</b> <br> 彼は環境問題に関心があります。<br> かれはかんきょうもんだいにかんしんがあります。 <br> He is interested in environmental issues.			
<b>(環)</b> <br> 彼は環境問題に関心があります。	[sound:s8-3621_彼は環境問題に関心があります。.mp3] <br> かれはかんきょうもんだいにかんしんがあります。 <br> He is interested in environmental issues.			
[sound:k8-3622_株式.mp3]	株式 <br> かぶしき <br> stock (company)
stock (company)	株式 <br> かぶしき <br> [sound:k8-3622_株式.mp3]
株式	[sound:k8-3622_株式.mp3] <br> かぶしき <br> stock (company)
[sound:s8-3622_我々は環境保護の重要性を理解する必要があります。.mp3]	<b>(環境)</b> <br> 我々は環境保護の重要性を理解する必要があります。<br> われわれはかんきょうほごのじゅうようせいをりかいするひつようがあります。 <br> We need to understand the importance of environmental protection.			
<b>(環境)</b> <br> 我々は環境保護の重要性を理解する必要があります。	[sound:s8-3622_我々は環境保護の重要性を理解する必要があります。.mp3] <br> われわれはかんきょうほごのじゅうようせいをりかいするひつようがあります。 <br> We need to understand the importance of environmental protection.			
[sound:k8-3623_株価.mp3]	株価 <br> かぶか <br> stock prices
stock prices	株価 <br> かぶか <br> [sound:k8-3623_株価.mp3]
株価	[sound:k8-3623_株価.mp3] <br> かぶか <br> stock prices
[sound:s8-3623_その省庁は環境庁です。.mp3]	<b>(環境庁)</b> <br> その省庁は環境庁です。<br> そのしょうちょうはかんきょうちょうです。 <br> That department is the Environmental Agency.			
<b>(環境庁)</b> <br> その省庁は環境庁です。	[sound:s8-3623_その省庁は環境庁です。.mp3] <br> そのしょうちょうはかんきょうちょうです。 <br> That department is the Environmental Agency.			
[sound:k8-3624_株主.mp3]	株主 <br> かぶぬし <br> shareholder, stockholder
shareholder, stockholder	株主 <br> かぶぬし <br> [sound:k8-3624_株主.mp3]
株主	[sound:k8-3624_株主.mp3] <br> かぶぬし <br> shareholder, stockholder
[sound:s8-3624_それは彼の計画の一環です。.mp3]	<b>(一環)</b> <br> それは彼の計画の一環です。<br> それはかれのけいかくのいっかんです。 <br> It's part of his plan.			
<b>(一環)</b> <br> それは彼の計画の一環です。	[sound:s8-3624_それは彼の計画の一環です。.mp3] <br> それはかれのけいかくのいっかんです。 <br> It's part of his plan.			
[sound:k8-3625_株式会社.mp3]	株式会社 <br> かぶしきがいしゃ <br> public company, corporation, KK, formula for an incorporated public company
public company, corporation, KK, formula for an incorporated public company	株式会社 <br> かぶしきがいしゃ <br> [sound:k8-3625_株式会社.mp3]
株式会社	[sound:k8-3625_株式会社.mp3] <br> かぶしきがいしゃ <br> public company, corporation, KK, formula for an incorporated public company
[sound:s8-3625_資源の循環を促進する必要があります。.mp3]	<b>(循環)</b> <br> 資源の循環を促進する必要があります。<br> しげんのじゅんかんをそくしんするひつようがあります。 <br> We need to promote the recycling of resources.			
<b>(循環)</b> <br> 資源の循環を促進する必要があります。	[sound:s8-3625_資源の循環を促進する必要があります。.mp3] <br> しげんのじゅんかんをそくしんするひつようがあります。 <br> We need to promote the recycling of resources.			
[sound:k8-3626_株券.mp3]	株券 <br> かぶけん <br> stock certificate
stock certificate	株券 <br> かぶけん <br> [sound:k8-3626_株券.mp3]
株券	[sound:k8-3626_株券.mp3] <br> かぶけん <br> stock certificate
[sound:s8-3626_彼は悪循環から抜け出す方法を見つけた。.mp3]	<b>(悪循環)</b> <br> 彼は悪循環から抜け出す方法を見つけた。<br> かれはあくじゅんかんからぬけだすほうほうをみつけた。 <br> He found a way to break out of the vicious cycle.			
<b>(悪循環)</b> <br> 彼は悪循環から抜け出す方法を見つけた。	[sound:s8-3626_彼は悪循環から抜け出す方法を見つけた。.mp3] <br> かれはあくじゅんかんからぬけだすほうほうをみつけた。 <br> He found a way to break out of the vicious cycle.			
[sound:k8-3627_持ち株.mp3]	持ち株 <br> もちかぶ <br> stock holdings, one's shares
stock holdings, one's shares	持ち株 <br> もちかぶ <br> [sound:k8-3627_持ち株.mp3]
持ち株	[sound:k8-3627_持ち株.mp3] <br> もちかぶ <br> stock holdings, one's shares
[sound:s8-3627_その道路は環状になっています。.mp3]	<b>(環状)</b> <br> その道路は環状になっています。<br> そのどうろはかんじょうになっています。 <br> The road forms a loop.			
<b>(環状)</b> <br> その道路は環状になっています。	[sound:s8-3627_その道路は環状になっています。.mp3] <br> そのどうろはかんじょうになっています。 <br> The road forms a loop.			
[sound:k8-3628_新株.mp3]	新株 <br> しんかぶ <br> new stocks or shares
new stocks or shares	新株 <br> しんかぶ <br> [sound:k8-3628_新株.mp3]
新株	[sound:k8-3628_新株.mp3] <br> しんかぶ <br> new stocks or shares
[sound:s8-3628_心臓は循環器の一部です。.mp3]	<b>(循環器)</b> <br> 心臓は循環器の一部です。<br> しんぞうはじゅんかんきのいちぶです。 <br> The heart is part of the circulatory system.			
<b>(循環器)</b> <br> 心臓は循環器の一部です。	[sound:s8-3628_心臓は循環器の一部です。.mp3] <br> しんぞうはじゅんかんきのいちぶです。 <br> The heart is part of the circulatory system.			
[sound:k8-3629_成長株.mp3]	成長株 <br> せいちょうかぶ <br> growth stock, person with future promise
growth stock, person with future promise	成長株 <br> せいちょうかぶ <br> [sound:k8-3629_成長株.mp3]
成長株	[sound:k8-3629_成長株.mp3] <br> せいちょうかぶ <br> growth stock, person with future promise
[sound:s8-3629_環境衛生のための取り組みが必要です。.mp3]	<b>(環境衛生)</b> <br> 環境衛生のための取り組みが必要です。<br> かんきょうえいせいのためのとりくみがひつようです。 <br> Efforts for environmental hygiene are necessary.			
<b>(環境衛生)</b> <br> 環境衛生のための取り組みが必要です。	[sound:s8-3629_環境衛生のための取り組みが必要です。.mp3] <br> かんきょうえいせいのためのとりくみがひつようです。 <br> Efforts for environmental hygiene are necessary.			
[sound:k8-3630_お株.mp3]	お株 <br> おかぶ <br> one's forte
one's forte	お株 <br> おかぶ <br> [sound:k8-3630_お株.mp3]
お株	[sound:k8-3630_お株.mp3] <br> おかぶ <br> one's forte
[sound:s8-3630_その町は環濠で囲まれています。.mp3]	<b>(環濠)</b> <br> その町は環濠で囲まれています。<br> そのまちはかんごうでかこまれています。 <br> The town is surrounded by moats.			
<b>(環濠)</b> <br> その町は環濠で囲まれています。	[sound:s8-3630_その町は環濠で囲まれています。.mp3] <br> そのまちはかんごうでかこまれています。 <br> The town is surrounded by moats.			
[sound:k8-3631_頭.mp3]	頭 <br> (kun: あたま, かしら, -がしら, かぶり; on: トウ, ズ, ト) <br> head, counter for large animals
head, counter for large animals	頭 <br> (kun: あたま, かしら, -がしら, かぶり; on: トウ, ズ, ト) <br> [sound:k8-3631_頭.mp3]
頭	[sound:k8-3631_頭.mp3] <br> (kun: あたま, かしら, -がしら, かぶり; on: トウ, ズ, ト) <br> head, counter for large animals
[sound:s8-3631_その駅は環状線に接続しています。.mp3]	<b>(環状線)</b> <br> その駅は環状線に接続しています。<br> そのえきはかんじょうせんにせつぞくしています。 <br> The station connects to the loop line.			
<b>(環状線)</b> <br> その駅は環状線に接続しています。	[sound:s8-3631_その駅は環状線に接続しています。.mp3] <br> そのえきはかんじょうせんにせつぞくしています。 <br> The station connects to the loop line.			
[sound:k8-3632_冒頭.mp3]	冒頭 <br> ぼうとう <br> beginning, start, outset
beginning, start, outset	冒頭 <br> ぼうとう <br> [sound:k8-3632_冒頭.mp3]
冒頭	[sound:k8-3632_冒頭.mp3] <br> ぼうとう <br> beginning, start, outset
[sound:s8-3632_彼女は貴重な経験を持っています。.mp3]	<b>(験)</b> <br> 彼女は貴重な経験を持っています。<br> かのじょはきちょうなけいけんをもっています。 <br> She has valuable experience.			
<b>(験)</b> <br> 彼女は貴重な経験を持っています。	[sound:s8-3632_彼女は貴重な経験を持っています。.mp3] <br> かのじょはきちょうなけいけんをもっています。 <br> She has valuable experience.			
[sound:k8-3633_先頭.mp3]	先頭 <br> せんとう <br> head, lead, vanguard, first
head, lead, vanguard, first	先頭 <br> せんとう <br> [sound:k8-3633_先頭.mp3]
先頭	[sound:k8-3633_先頭.mp3] <br> せんとう <br> head, lead, vanguard, first
[sound:s8-3633_彼は多くの経験を持っています。.mp3]	<b>(経験)</b> <br> 彼は多くの経験を持っています。<br> かれはおおくのけいけんをもっています。 <br> He has a lot of experience.			
<b>(経験)</b> <br> 彼は多くの経験を持っています。	[sound:s8-3633_彼は多くの経験を持っています。.mp3] <br> かれはおおくのけいけんをもっています。 <br> He has a lot of experience.			
[sound:k8-3634_店頭.mp3]	店頭 <br> てんとう <br> shop front, counter, shop, over-the-counter (financial)
shop front, counter, shop, over-the-counter (financial)	店頭 <br> てんとう <br> [sound:k8-3634_店頭.mp3]
店頭	[sound:k8-3634_店頭.mp3] <br> てんとう <br> shop front, counter, shop, over-the-counter (financial)
[sound:s8-3634_彼は明日の試験に向けて勉強しています。.mp3]	<b>(試験)</b> <br> 彼は明日の試験に向けて勉強しています。<br> かれはあしたのしけんにむけてべんきょうしています。 <br> He is studying for tomorrow's exam.			
<b>(試験)</b> <br> 彼は明日の試験に向けて勉強しています。	[sound:s8-3634_彼は明日の試験に向けて勉強しています。.mp3] <br> かれはあしたのしけんにむけてべんきょうしています。 <br> He is studying for tomorrow's exam.			
[sound:k8-3635_頭取.mp3]	頭取 <br> とうどり <br> (bank) president
(bank) president	頭取 <br> とうどり <br> [sound:k8-3635_頭取.mp3]
頭取	[sound:k8-3635_頭取.mp3] <br> とうどり <br> (bank) president
[sound:s8-3635_その化学実験は成功しました。.mp3]	<b>(実験)</b> <br> その化学実験は成功しました。<br> そのかがくじっけんはせいこうしました。 <br> The chemistry experiment was successful.			
<b>(実験)</b> <br> その化学実験は成功しました。	[sound:s8-3635_その化学実験は成功しました。.mp3] <br> そのかがくじっけんはせいこうしました。 <br> The chemistry experiment was successful.			
[sound:k8-3636_街頭.mp3]	街頭 <br> がいとう <br> in the street
in the street	街頭 <br> がいとう <br> [sound:k8-3636_街頭.mp3]
街頭	[sound:k8-3636_街頭.mp3] <br> がいとう <br> in the street
[sound:s8-3636_彼女は大学入試を受験します。.mp3]	<b>(受験)</b> <br> 彼女は大学入試を受験します。<br> かのじょはだいがくにゅうしをじゅけんします。 <br> She will take the university entrance exam.			
<b>(受験)</b> <br> 彼女は大学入試を受験します。	[sound:s8-3636_彼女は大学入試を受験します。.mp3] <br> かのじょはだいがくにゅうしをじゅけんします。 <br> She will take the university entrance exam.			
[sound:k8-3637_念頭.mp3]	念頭 <br> ねんとう <br> mind
mind	念頭 <br> ねんとう <br> [sound:k8-3637_念頭.mp3]
念頭	[sound:k8-3637_念頭.mp3] <br> ねんとう <br> mind
[sound:s8-3637_私たちは楽しい体験をしました。.mp3]	<b>(体験)</b> <br> 私たちは楽しい体験をしました。<br> わたしたちはたのしいたいけんをしました。 <br> We had a fun experience.			
<b>(体験)</b> <br> 私たちは楽しい体験をしました。	[sound:s8-3637_私たちは楽しい体験をしました。.mp3] <br> わたしたちはたのしいたいけんをしました。 <br> We had a fun experience.			
[sound:k8-3638_筆頭.mp3]	筆頭 <br> ひっとう <br> brush tip, first on a list
brush tip, first on a list	筆頭 <br> ひっとう <br> [sound:k8-3638_筆頭.mp3]
筆頭	[sound:k8-3638_筆頭.mp3] <br> ひっとう <br> brush tip, first on a list
[sound:s8-3638_その仕事には経験者が必要です。.mp3]	<b>(経験者)</b> <br> その仕事には経験者が必要です。<br> そのしごとにはけいけんしゃがひつようです。 <br> Experience is necessary for that job.			
<b>(経験者)</b> <br> その仕事には経験者が必要です。	[sound:s8-3638_その仕事には経験者が必要です。.mp3] <br> そのしごとにはけいけんしゃがひつようです。 <br> Experience is necessary for that job.			
[sound:k8-3639_会頭.mp3]	会頭 <br> かいとう <br> society president
society president	会頭 <br> かいとう <br> [sound:k8-3639_会頭.mp3]
会頭	[sound:k8-3639_会頭.mp3] <br> かいとう <br> society president
[sound:s8-3639_その国は核実験を実施しました。.mp3]	<b>(核実験)</b> <br> その国は核実験を実施しました。<br> そのくにはかくじっけんをじっしした。 <br> The country conducted a nuclear test.			
<b>(核実験)</b> <br> その国は核実験を実施しました。	[sound:s8-3639_その国は核実験を実施しました。.mp3] <br> そのくにはかくじっけんをじっしした。 <br> The country conducted a nuclear test.			
[sound:k8-3640_台頭.mp3]	台頭 <br> たいとう <br> rise of, appearance of, (in the) forefront, prominence
rise of, appearance of, (in the) forefront, prominence	台頭 <br> たいとう <br> [sound:k8-3640_台頭.mp3]
台頭	[sound:k8-3640_台頭.mp3] <br> たいとう <br> rise of, appearance of, (in the) forefront, prominence
[sound:s8-3640_彼は国家試験に合格しました。.mp3]	<b>(国家試験)</b> <br> 彼は国家試験に合格しました。<br> かれはこっかしけんにごうかくしました。 <br> He passed the national exam.			
<b>(国家試験)</b> <br> 彼は国家試験に合格しました。	[sound:s8-3640_彼は国家試験に合格しました。.mp3] <br> かれはこっかしけんにごうかくしました。 <br> He passed the national exam.			
[sound:k8-3641_頭痛.mp3]	頭痛 <br> ずつう <br> headache
headache	頭痛 <br> ずつう <br> [sound:k8-3641_頭痛.mp3]
頭痛	[sound:k8-3641_頭痛.mp3] <br> ずつう <br> headache
[sound:s8-3641_試験場はどこですか？.mp3]	<b>(試験場)</b> <br> 試験場はどこですか？<br> しけんじょうはどこですか？ <br> Where is the examination hall?			
<b>(試験場)</b> <br> 試験場はどこですか？	[sound:s8-3641_試験場はどこですか？.mp3] <br> しけんじょうはどこですか？ <br> Where is the examination hall?			
[sound:k8-3642_技.mp3]	技 <br> (kun: わざ; on: ギ) <br> skill, art, craft, ability, feat, performance, vocation, arts
skill, art, craft, ability, feat, performance, vocation, arts	技 <br> (kun: わざ; on: ギ) <br> [sound:k8-3642_技.mp3]
技	[sound:k8-3642_技.mp3] <br> (kun: わざ; on: ギ) <br> skill, art, craft, ability, feat, performance, vocation, arts
[sound:s8-3642_その実験室は最新の設備が整っています。.mp3]	<b>(実験室)</b> <br> その実験室は最新の設備が整っています。<br> そのじっけんしつはさいしんのせつびがととのっています。 <br> The laboratory is equipped with the latest facilities.			
