[sound:s8-0001_早く起きた。.mp3]	<b>(早)</b> <br> 早く起きた。<br> はやくおきた。 <br> I woke up early.			
[sound:s8-0020_宇宙の膨張は止まらない。.mp3]	<b>(膨張)</b> <br> 宇宙の膨張は止まらない。<br> うちゅうのぼうちょうはとまらない。 <br> The expansion of the universe never stops.			
[sound:s8-0021_この材料の引っ張り剪断強度は非常に高いです。.mp3]	<b>(引っ張り剪断強度)</b> <br> この材料の引っ張り剪断強度は非常に高いです。<br> このざいりょうのひっぱりせんだんきょうどはひじょうにたかいです。 <br> The tensile shear strength of this material is very high.			
[sound:s8-0022_彼の頑張りは称賛に値する。.mp3]	<b>(頑張り)</b> <br> 彼の頑張りは称賛に値する。<br> かれのがんばりはしょうさんにあたる。 <br> His efforts are commendable.			
[sound:s8-0023_映画を見るのが好きです。.mp3]	<b>(映)</b> <br> 映画を見るのが好きです。<br> えいがをみるのがすきです。 <br> I like watching movies.			
[sound:s8-0024_彼は映画制作に関わっています。.mp3]	<b>(映画)</b> <br> 彼は映画制作に関わっています。<br> かれはえいがせいさくにかかわっています。 <br> He is involved in film production.			
[sound:s8-0025_その映像は私の心に残りました。.mp3]	<b>(映像)</b> <br> その映像は私の心に残りました。<br> そのえいぞうはわたしのこころにのこりました。 <br> That image stayed in my heart.			
[sound:s8-0026_その映画は今週末に上映されます。.mp3]	<b>(上映)</b> <br> その映画は今週末に上映されます。<br> そのえいがはこんしゅうまつにじょうえいされます。 <br> The movie will be screened this weekend.			
[sound:s8-0027_その番組は毎週放映されます。.mp3]	<b>(放映)</b> <br> その番組は毎週放映されます。<br> そのばんぐみはまいしゅうほうえいされます。 <br> The program is broadcasted every week.			
[sound:s8-0028_昨日、映画館で新しい映画を見た。.mp3]	<b>(映画館)</b> <br> 昨日、映画館で新しい映画を見た。<br> きのう、えいがかんであたらしいえいがをみた。 <br> Yesterday, I watched a new movie at the cinema.			
[sound:s8-0029_私たちの意見は結果に反映されます。.mp3]	<b>(反映)</b> <br> 私たちの意見は結果に反映されます。<br> わたしたちのいけんはけっかにはんえいされます。 <br> Our opinions will be reflected in the results.			
[sound:s8-0030_彼は未来を映し出す映画を作った。.mp3]	<b>(映し出す)</b> <br> 彼は未来を映し出す映画を作った。<br> かれはみらいをうつしだすえいがをつくった。 <br> He made a movie depicting the future.			
[sound:s8-0031_大映は日本の映画会社です。.mp3]	<b>(大映)</b> <br> 大映は日本の映画会社です。<br> だいえいはにほんのえいががいしゃです。 <br> Daiei is a Japanese film company.			
[sound:s8-0032_湖に月が映って美しかった。.mp3]	<b>(映る)</b> <br> 湖に月が映って美しかった。<br> みずうみにつきがうつってうつくしかった。 <br> The moon reflected beautifully on the lake.			
[sound:s8-0033_彼は劇映画の脚本を書いています。.mp3]	<b>(劇映画)</b> <br> 彼は劇映画の脚本を書いています。<br> かれはげきえいがのきゃくほんをかいています。 <br> He is writing the script for a feature film.			
[sound:s8-0034_時間には限りがあります。.mp3]	<b>(限)</b> <br> 時間には限りがあります。<br> じかんにはかぎりがあります。 <br> There is a limit to time.			
[sound:s8-0035_私たちは予算に限りがあります。.mp3]	<b>(限る)</b> <br> 私たちは予算に限りがあります。<br> わたしたちはよさんにかぎりがあります。 <br> We have a limited budget.			
[sound:s8-0036_このプロジェクトの期限は来月です。.mp3]	<b>(期限)</b> <br> このプロジェクトの期限は来月です。<br> このぷろじぇくとのきげんはらいげつです。 <br> The deadline for this project is next month.			
[sound:s8-0037_彼は多くの権限を持っています。.mp3]	<b>(権限)</b> <br> 彼は多くの権限を持っています。<br> かれはおおくのけんげんをもっています。 <br> He holds a lot of authority.			
[sound:s8-0038_速度制限を守りましょう。.mp3]	<b>(制限)</b> <br> 速度制限を守りましょう。<br> そくどせいげんをまもりましょう。 <br> Let's obey the speed limit.			
[sound:s8-0039_彼の我慢の限界はもう達している。.mp3]	<b>(限界)</b> <br> 彼の我慢の限界はもう達している。<br> かれのがまんのげんかいはもうたっしている。 <br> His patience has reached its limit.			
[sound:s8-0040_私の力の限り助けます。.mp3]	<b>(限り)</b> <br> 私の力の限り助けます。<br> わたしのちからのかぎりたすけます。 <br> I'll help as much as I can.			
[sound:s8-0041_この商品は数量限定です。.mp3]	<b>(限定)</b> <br> この商品は数量限定です。<br> このしょうひんはすうりょうげんていです。 <br> This product is limited in quantity.			
[sound:s8-0042_価格は上限があります。.mp3]	<b>(上限)</b> <br> 価格は上限があります。<br> かかくはじょうげんがあります。 <br> There is an upper limit on the price.			
[sound:s8-0043_最大限の努力をしてください。.mp3]	<b>(最大限)</b> <br> 最大限の努力をしてください。<br> さいだいげんのどりょくをしてください。 <br> Please make the utmost effort.			
[sound:s8-0044_彼の我慢の限度はもう達している。.mp3]	<b>(限度)</b> <br> 彼の我慢の限度はもう達している。<br> かれのがまんのげんどはもうたっしている。 <br> His tolerance has reached its limit.			
[sound:s8-0045_親は子供の模範です。.mp3]	<b>(親)</b> <br> 親は子供の模範です。<br> おやはこどものもはんです。 <br> Parents are role models for children.			
[sound:s8-0046_彼は親によく似ています。.mp3]	<b>(親)</b> <br> 彼は親によく似ています。<br> かれはおやによくにています。 <br> He greatly resembles his parents.			
[sound:s8-0047_彼は素晴らしい父親です。.mp3]	<b>(父親)</b> <br> 彼は素晴らしい父親です。<br> かれはすばらしいちちおやです。 <br> He is a wonderful father.			
[sound:s8-0048_彼女はとても優しい母親です。.mp3]	<b>(母親)</b> <br> 彼女はとても優しい母親です。<br> かのじょはとてもやさしいははおやです。 <br> She is a very kind mother.			
[sound:s8-0049_私の両親はとても仲が良い。.mp3]	<b>(両親)</b> <br> 私の両親はとても仲が良い。<br> わたしのりょうしんはとてもなかがいい。 <br> My parents get along very well.			
[sound:s8-0050_親子でピクニックに行きました。.mp3]	<b>(親子)</b> <br> 親子でピクニックに行きました。<br> おやこでぴくにっくにいきました。 <br> We went on a picnic as a family.			
[sound:s8-0051_彼は建築の親方です。.mp3]	<b>(親方)</b> <br> 彼は建築の親方です。<br> かれはけんちくのおやかたです。 <br> He is a master builder.			
[sound:s8-0052_彼女はその犬と親しんでいます。.mp3]	<b>(親しむ)</b> <br> 彼女はその犬と親しんでいます。<br> かのじょはそのいぬとしたしんでいます。 <br> She is close to the dog.			
[sound:s8-0053_親類一同に手紙を送った。.mp3]	<b>(親類)</b> <br> 親類一同に手紙を送った。<br> しんるいいちどうにてがみをおくった。 <br> I sent a letter to all my relatives.			
[sound:s8-0054_彼は国際親善大使です。.mp3]	<b>(親善)</b> <br> 彼は国際親善大使です。<br> かれはこくさいしんぜんたいしです。 <br> He is an international goodwill ambassador.			
[sound:s8-0055_彼は肉親のように私を支えてくれた。.mp3]	<b>(肉親)</b> <br> 彼は肉親のように私を支えてくれた。<br> かれはにくしんのようにわたしをささえてくれた。 <br> He supported me like a close relative.			
[sound:s8-0056_その額には大きな傷がある。.mp3]	<b>(額)</b> <br> その額には大きな傷がある。<br> そのひたいにはおおきなきずがある。 <br> There is a big scar on his forehead.			
[sound:s8-0057_絵を額に入れて飾りました。.mp3]	<b>(額)</b> <br> 絵を額に入れて飾りました。<br> えをがくにいれてかざりました。 <br> I framed the painting and hung it up.			
[sound:s8-0058_契約の総額は一千万円です。.mp3]	<b>(総額)</b> <br> 契約の総額は一千万円です。<br> けいやくのそうがくはいっせんまんえんです。 <br> The total amount of the contract is ten million yen.			
[sound:s8-0059_この商品の金額は高すぎます。.mp3]	<b>(金額)</b> <br> この商品の金額は高すぎます。<br> このしょうひんのきんがくはたかすぎます。 <br> The price of this product is too high.			
[sound:s8-0060_彼は巨額の寄付をした。.mp3]	<b>(巨額)</b> <br> 彼は巨額の寄付をした。<br> かれはきょがくのきふをした。 <br> He made a huge donation.			
[sound:s8-0061_彼は多額の借金を抱えている。.mp3]	<b>(多額)</b> <br> 彼は多額の借金を抱えている。<br> かれはたがくのしゃっきんをかかえている。 <br> He is burdened with a large amount of debt.			
[sound:s8-0062_商品代金は全額返金されます。.mp3]	<b>(全額)</b> <br> 商品代金は全額返金されます。<br> しょうひんだいきんはぜんがくへんきんされます。 <br> The full purchase price will be refunded.			
[sound:s8-0063_その額面の価値よりもずっと高いです。.mp3]	<b>(額面)</b> <br> その額面の価値よりもずっと高いです。<br> そのがくめんのかちよりもずっとたかいです。 <br> It's worth much more than its face value.			
[sound:s8-0064_そのサービスの月額料金はいくらですか？.mp3]	<b>(月額)</b> <br> そのサービスの月額料金はいくらですか？	そのさーびすのげつがくりょうきんはいくらですか？ <br> What is the monthly fee for that service? <br> 		
[sound:s8-0065_高額な買い物をした。.mp3]	<b>(高額)</b> <br> 高額な買い物をした。<br> こうがくなかいものをした。 <br> I made a high-priced purchase.			
[sound:s8-0066_税額を計算するのは面倒だ。.mp3]	<b>(税額)</b> <br> 税額を計算するのは面倒だ。<br> ぜいがくをけいさんするのはめんどうだ。 <br> Calculating taxes is a hassle.			
[sound:s8-0067_彼は映画監督として有名です。.mp3]	<b>(監)</b> <br> 彼は映画監督として有名です。<br> かれはえいがかんとくとしてゆうめいです。 <br> He is famous as a film director.			
[sound:s8-0068_彼は監督としてその映画を作りました。.mp3]	<b>(監督)</b> <br> 彼は監督としてその映画を作りました。<br> かれはかんとくとしてそのえいがをつくりました。 <br> He directed the movie.			
[sound:s8-0069_セキュリティカメラが監視している。.mp3]	<b>(監視)</b> <br> セキュリティカメラが監視している。<br> せきゅりてぃかめらがかんししている。 <br> Security cameras are monitoring.			
[sound:s8-0070_彼は会社の監査役です。.mp3]	<b>(監査役)</b> <br> 彼は会社の監査役です。<br> かれはかいしゃのかんさやくです。 <br> He is an auditor for the company.			
[sound:s8-0071_その会社は毎年監査を受けています。.mp3]	<b>(監査)</b> <br> その会社は毎年監査を受けています。<br> そのかいしゃはまいねんかんさをうけています。 <br> The company undergoes an audit every year.			
[sound:s8-0072_彼は無実の罪で監禁された。.mp3]	<b>(監禁)</b> <br> 彼は無実の罪で監禁された。<br> かれはむじつのつみでかんきんされた。 <br> He was imprisoned on false charges.			
[sound:s8-0073_そのプロジェクトは独立した監察団体によって監視されている。.mp3]	<b>(監察)</b> <br> そのプロジェクトは独立した監察団体によって監視されている。<br> そのぷろじぇくとはどくりつしたかんさつだんたいによってかんしされている。 <br> The project is being supervised by an independent oversight body.			
[sound:s8-0074_彼はその本の監修をした。.mp3]	<b>(監修)</b> <br> 彼はその本の監修をした。<br> かれはそのほんのかんしゅうをした。 <br> He supervised the production of the book.			
[sound:s8-0075_彼はその計画の総監です。.mp3]	<b>(総監)</b> <br> 彼はその計画の総監です。<br> かれはそのけいかくのそうかんです。 <br> He is the overall director of the project.			
[sound:s8-0076_彼は監獄に収監されている。.mp3]	<b>(監獄)</b> <br> 彼は監獄に収監されている。<br> かれはかんごくにしゅうかんされている。 <br> He is incarcerated in prison.			
[sound:s8-0077_彼はその計画の監理をしている。.mp3]	<b>(監理)</b> <br> 彼はその計画の監理をしている。<br> かれはそのけいかくのかんりをしている。 <br> He is in charge of overseeing the project.			
[sound:s8-0078_私たちは環境保護に努めなければならない。.mp3]	<b>(環)</b> <br> 私たちは環境保護に努めなければならない。<br> わたしたちはかんきょうほごにつとめなければならない。 <br> We must strive to protect the environment.			
[sound:s8-0079_環境問題は深刻化しています。.mp3]	<b>(環境)</b> <br> 環境問題は深刻化しています。<br> かんきょうもんだいはしんこくかしています。 <br> Environmental problems are becoming more serious.			
[sound:s8-0080_環境庁は環境政策を担当しています。.mp3]	<b>(環境庁)</b> <br> 環境庁は環境政策を担当しています。<br> かんきょうちょうはかんきょうせいさくをたんとうしています。 <br> The Environmental Agency is responsible for environmental policy.			
[sound:s8-0081_これはプロジェクトの一環です。.mp3]	<b>(一環)</b> <br> これはプロジェクトの一環です。<br> これはぷろじぇくとのいっかんです。 <br> This is part of the project.			
[sound:s8-0082_水は地球上で循環しています。.mp3]	<b>(循環)</b> <br> 水は地球上で循環しています。<br> みずはちきゅうじょうでじゅんかんしています。 <br> Water circulates on Earth.			
[sound:s8-0083_その市は悪循環から抜け出せない。.mp3]	<b>(悪循環)</b> <br> その市は悪循環から抜け出せない。<br> そのしはあくじゅんかんからぬけだせない。 <br> The city can't break free from the vicious cycle.			
[sound:s8-0084_この高速道路は環状になっています。.mp3]	<b>(環状)</b> <br> この高速道路は環状になっています。<br> このこうそくどうろはかんじょうになっています。 <br> This highway forms a loop.			
[sound:s8-0085_循環器系の疾患があります。.mp3]	<b>(循環器)</b> <br> 循環器系の疾患があります。<br> じゅんかんきけいのしっかんがあります。 <br> There is a circulatory system disorder.			
[sound:s8-0086_環境衛生に関する法律が厳格化された。.mp3]	<b>(環境衛生)</b> <br> 環境衛生に関する法律が厳格化された。<br> かんきょうえいせいにかんするほうりつがげんかくかされた。 <br> Laws regarding environmental hygiene have been tightened.			
[sound:s8-0087_この都市は古い環濠を持っています。.mp3]	<b>(環濠)</b> <br> この都市は古い環濠を持っています。<br> このとしはふるいかんごうをもっています。 <br> This city has ancient moats.			
[sound:s8-0088_この電車は市内を環状線で走ります。.mp3]	<b>(環状線)</b> <br> この電車は市内を環状線で走ります。<br> このでんしゃはしないをかんじょうせんではしります。 <br> This train runs around the city on a loop line.			
[sound:s8-0089_彼は多くの経験を持っています。.mp3]	<b>(験)</b> <br> 彼は多くの経験を持っています。	かれはおおくのけいけんをもっています。 <br> He has a lot of experience. <br> 		
[sound:s8-0090_経験を積むことは大切です。.mp3]	<b>(経験)</b> <br> 経験を積むことは大切です。<br> けいけんをつむことはたいせつです。 <br> Accumulating experience is important.			
[sound:s8-0091_明日は重要な試験があります。.mp3]	<b>(試験)</b> <br> 明日は重要な試験があります。<br> あしたはじゅうようなしけんがあります。 <br> There is an important exam tomorrow.			
[sound:s8-0092_実験の結果が良かった。.mp3]	<b>(実験)</b> <br> 実験の結果が良かった。<br> じっけんのけっかがよかった。 <br> The experiment yielded good results.			
[sound:s8-0093_彼女は来年大学受験をします。.mp3]	<b>(受験)</b> <br> 彼女は来年大学受験をします。<br> かのじょはらいねんだいがくじゅけんをします。 <br> She will take the university entrance exam next year.			
[sound:s8-0094_彼は興味深い体験をした。.mp3]	<b>(体験)</b> <br> 彼は興味深い体験をした。<br> かれはきょうみぶかいたいけんをした。 <br> He had an interesting experience.			
[sound:s8-0095_その仕事には経験者が必要です。.mp3]	<b>(経験者)</b> <br> その仕事には経験者が必要です。<br> そのしごとにはけいけんしゃがひつようです。 <br> Experience is necessary for that job.			
[sound:s8-0096_核実験の禁止を訴えます。.mp3]	<b>(核実験)</b> <br> 核実験の禁止を訴えます。<br> かくじっけんのきんしをうったえます。 <br> I call for the ban on nuclear testing.			
[sound:s8-0097_国家試験を受ける準備をしなければならない。.mp3]	<b>(国家試験)</b> <br> 国家試験を受ける準備をしなければならない。<br> こっかしけんをうけるじゅんびをしなければならない。 <br> You must prepare to take the national exam.			
[sound:s8-0098_試験場までの道を教えてください。.mp3]	<b>(試験場)</b> <br> 試験場までの道を教えてください。<br> しけんじょうまでのみちをおしえてください。 <br> Could you tell me the way to the exam venue?			
[sound:s8-0099_彼は実験室で新しい発見をしました。.mp3]	<b>(実験室)</b> <br> 彼は実験室で新しい発見をしました。<br> かれはじっけんしつであたらしいはっけんをしました。 <br> He made a new discovery in the laboratory.			
[sound:s8-0100_彼は犬を追っていた。.mp3]	<b>(追)</b> <br> 彼は犬を追っていた。<br> かれはいぬをおっていた。 <br> He was chasing after the dog.			
[sound:s8-0101_彼女は夢を追い続けています。.mp3]	<b>(追う)</b> <br> 彼女は夢を追い続けています。<br> かのじょはゆめをおいつづけています。 <br> She continues to pursue her dreams.			
[sound:s8-0102_その製品に追加の機能を付けることができます。.mp3]	<b>(追加)</b> <br> その製品に追加の機能を付けることができます。<br> そのせいひんについかのきのうをつけることができます。 <br> Additional features can be added to the product.			
[sound:s8-0103_彼は相手を追い込んで勝利を収めた。.mp3]	<b>(追い込む)</b> <br> 彼は相手を追い込んで勝利を収めた。<br> かれはあいてをおいこんでしょうりをおさめた。 <br> He pushed his opponent hard and won the victory.			
[sound:s8-0104_彼は真実を追及し続けた。.mp3]	<b>(追及)</b> <br> 彼は真実を追及し続けた。<br> かれはしんじつをついきゅうしつづけた。 <br> He continued to pursue the truth.			
[sound:s8-0105_その政治家は国外に追放された。.mp3]	<b>(追放)</b> <br> その政治家は国外に追放された。<br> そのせいじかはこくがいについほうされた。 <br> The politician was expelled from the country.			
[sound:s8-0106_彼女は有名人を追っかけています。.mp3]	<b>(追っ掛ける)</b> <br> 彼女は有名人を追っかけています。<br> かのじょはゆうめいじんをおっかけています。 <br> She's chasing after celebrities.			
[sound:s8-0107_彼の死に追悼の意を表します。.mp3]	<b>(追悼)</b> <br> 彼の死に追悼の意を表します。<br> かれのしについとうのいをあらわします。 <br> We express our condolences on his death.			
[sound:s8-0108_経済は追い風に乗っている。.mp3]	<b>(追い風)</b> <br> 経済は追い風に乗っている。<br> けいざいはおいかぜにのっている。 <br> The economy is riding on a tailwind.			
[sound:s8-0109_その税金は追徴されました。.mp3]	<b>(追徴)</b> <br> その税金は追徴されました。<br> そのぜいきんはついちょうされました。 <br> The tax was retroactively collected.			
[sound:s8-0110_彼は最後に追いついて優勝した。.mp3]	<b>(追いつく)</b> <br> 彼は最後に追いついて優勝した。<br> かれはさいごにおいついてゆうしょうした。 <br> He caught up at the end and won the race.			
[sound:s8-0111_彼は裁判の審理を待っていた。.mp3]	<b>(審)</b> <br> 彼は裁判の審理を待っていた。<br> かれはさいばんのしんりをまっていた。 <br> He was awaiting trial proceedings.			
[sound:s8-0112_その案について審議する必要があります。.mp3]	<b>(審議)</b> <br> その案について審議する必要があります。<br> そのあんについてしんぎするひつようがあります。 <br> We need to deliberate on the proposal.			
[sound:s8-0113_その作品は厳しい審査を受けた。.mp3]	<b>(審査)</b> <br> その作品は厳しい審査を受けた。<br> そのさくひんはきびしいしんさをうけた。 <br> The work underwent rigorous examination.			
[sound:s8-0114_彼はその試合の審判を務めた。.mp3]	<b>(審判)</b> <br> 彼はその試合の審判を務めた。<br> かれはそのしあいのしんぱんをつとめた。 <br> He served as the referee for the match.			
[sound:s8-0115_その事件は一審で有罪判決を受けた。.mp3]	<b>(一審)</b> <br> その事件は一審で有罪判決を受けた。<br> そのじけんはいっしんでゆうざいはんけつをうけた。 <br> The case was found guilty in the first trial.			
[sound:s8-0116_彼の事件は審理中です。.mp3]	<b>(審理)</b> <br> 彼の事件は審理中です。<br> かれのじけんはしんりちゅうです。 <br> His case is under review.			
[sound:s8-0117_彼の行動が不審だと思った。.mp3]	<b>(不審)</b> <br> 彼の行動が不審だと思った。<br> かれのこうどうがふしんだとおもった。 <br> I thought his behavior was suspicious.			
[sound:s8-0118_彼は陪審員を務めたことがある。.mp3]	<b>(陪審)</b> <br> 彼は陪審員を務めたことがある。<br> かれはばいしんいんをつとめたことがある。 <br> He has served as a juror before.			
[sound:s8-0119_彼の事件は再審を求めている。.mp3]	<b>(再審)</b> <br> 彼の事件は再審を求めている。<br> かれのじけんはさいしんをもとめている。 <br> His case is seeking a retrial.			
[sound:s8-0120_その試合の主審は厳格です。.mp3]	<b>(主審)</b> <br> その試合の主審は厳格です。<br> そのしあいのしゅしんはげんかくです。 <br> The referee for the match is strict.			
[sound:s8-0121_その事件は上告審で取り上げられる予定です。.mp3]	<b>(上告審)</b> <br> その事件は上告審で取り上げられる予定です。<br> そのじけんはじょうこくしんでとりあげられるよていです。 <br> The case is scheduled to be heard in the appellate court.			
[sound:s8-0122_彼は商才に長けています。.mp3]	<b>(商)</b> <br> 彼は商才に長けています。<br> かれはしょうさいにたけています。 <br> He has a talent for business.			
[sound:s8-0123_商売は自由経済の基盤です。.mp3]	<b>(商)</b> <br> 商売は自由経済の基盤です。<br> しょうばいはじゆうけいざいのきばんです。 <br> Business is the foundation of a free economy.			
[sound:s8-0124_この店は高品質の商品を扱っています。.mp3]	<b>(商品)</b> <br> この店は高品質の商品を扱っています。<br> このみせはこうひんしつのしょうひんをあつかっています。 <br> This store sells high-quality products.			
[sound:s8-0125_商業はこの国の経済の重要な部分です。.mp3]	<b>(商業)</b> <br> 商業はこの国の経済の重要な部分です。<br> しょうぎょうはこのくにのけいざいのじゅうようなぶぶんです。 <br> Commerce is an important part of the economy in this country.			
[sound:s8-0126_彼は大手商社に勤めている。.mp3]	<b>(商社)</b> <br> 彼は大手商社に勤めている。<br> かれはおおてしょうしゃにつとめている。 <br> He works for a major trading company.			
[sound:s8-0127_この国は自由な通商を行っています。.mp3]	<b>(通商)</b> <br> この国は自由な通商を行っています。<br> このくにはじゆうなつうしょうをおこなっています。 <br> This country engages in free trade.			
[sound:s8-0128_商店街はクリスマスの飾り付けで賑やかだ。.mp3]	<b>(商店)</b> <br> 商店街はクリスマスの飾り付けで賑やかだ。<br> しょうてんがいはくりすますのかざりつけでにぎやかだ。 <br> The shopping street is bustling with Christmas decorations.			
[sound:s8-0129_父は商売で成功しています。.mp3]	<b>(商売)</b> <br> 父は商売で成功しています。<br> ちちはしょうばいでせいこうしています。 <br> My father is successful in business.			
[sound:s8-0130_商法に関する専門知識が必要だ。.mp3]	<b>(商法)</b> <br> 商法に関する専門知識が必要だ。<br> しょうほうにかんするせんもんちしきがひつようだ。 <br> Specialized knowledge about commercial law is required.			
[sound:s8-0131_商工会議所で会議が行われた。.mp3]	<b>(商工)</b> <br> 商工会議所で会議が行われた。<br> しょうこうかいぎしょでかいぎがおこなわれた。 <br> A meeting was held at the Chamber of Commerce and Industry.			
[sound:s8-0132_私は地元の商工会議所のメンバーです。.mp3]	<b>(商工会議所)</b> <br> 私は地元の商工会議所のメンバーです。<br> わたしはじもとのしょうこうかいぎしょのめんばーです。 <br> I am a member of the local Chamber of Commerce and Industry.			
[sound:s8-0133_その木にはたくさんの葉がついている。.mp3]	<b>(葉)</b> <br> その木にはたくさんの葉がついている。<br> そのきにはたくさんのはがついている。 <br> The tree has many leaves.			
[sound:s8-0134_彼女は葉巻を吸っていた。.mp3]	<b>(葉)</b> <br> 彼女は葉巻を吸っていた。<br> かのじょははまきをすっていた。 <br> She was smoking a cigar.			
[sound:s8-0135_その言葉の意味を教えてください。.mp3]	<b>(言葉)</b> <br> その言葉の意味を教えてください。<br> そのことばのいみをおしえてください。 <br> Please tell me the meaning of that word.			
[sound:s8-0136_青葉が風に揺れている。.mp3]	<b>(青葉)</b> <br> 青葉が風に揺れている。<br> あおばがかぜにゆれている。 <br> The fresh green leaves are swaying in the wind.			
[sound:s8-0137_秋になると紅葉が美しい。.mp3]	<b>(紅葉)</b> <br> 秋になると紅葉が美しい。<br> あきになるとこうようがうつくしい。 <br> The autumn leaves are beautiful in autumn.			
[sound:s8-0138_彼女たちは合言葉を決めました。.mp3]	<b>(合言葉)</b> <br> 彼女たちは合言葉を決めました。<br> かのじょたちはあいことばをきめました。 <br> They decided on a password.			
[sound:s8-0139_若葉が芽吹いている。.mp3]	<b>(若葉)</b> <br> 若葉が芽吹いている。<br> わかばがめぶいている。 <br> The young leaves are budding.			
[sound:s8-0140_双葉の芽が出た。.mp3]	<b>(双葉)</b> <br> 双葉の芽が出た。<br> ふたばのめがでた。 <br> The sprout of the two leaves appeared.			
[sound:s8-0141_松葉の香りが漂ってくる。.mp3]	<b>(松葉)</b> <br> 松葉の香りが漂ってくる。<br> まつばのかおりがただよってくる。 <br> The scent of pine needles drifts over.			
[sound:s8-0142_庭に落ち葉がたくさん積もっている。.mp3]	<b>(落ち葉)</b> <br> 庭に落ち葉がたくさん積もっている。<br> にわにおちばがたくさんつもっている。 <br> There are a lot of fallen leaves piled up in the garden.			
[sound:s8-0143_彼の言葉遣いはとても丁寧です。.mp3]	<b>(言葉遣い)</b> <br> 彼の言葉遣いはとても丁寧です。<br> かれのことばづかいはとてもていねいです。 <br> His choice of words is very polite.			
[sound:s8-0144_彼は義のある人物です。.mp3]	<b>(義)</b> <br> 彼は義のある人物です。<br> かれはぎのあるじんぶつです。 <br> He is a righteous person.			
[sound:s8-0145_彼の行動は義に背いている。.mp3]	<b>(義)</b> <br> 彼の行動は義に背いている。<br> かれのこうどうはぎにそむいている。 <br> His actions go against righteousness.			
[sound:s8-0146_彼女は社会主義者です。.mp3]	<b>(主義)</b> <br> 彼女は社会主義者です。<br> かのじょはしゃかいしゅぎしゃです。 <br> She is a socialist.			
